locus_tag,product,protein_id
BHE81_RS02170,L-2-hydroxyglutarate oxidase,WP_023302282.1
BHE81_RS02175,glutarate dioxygenase GlaH,WP_002889847.1
BHE81_RS02180,YjhX family toxin,WP_002889848.1
BHE81_RS02185,SAM-dependent methyltransferase,WP_016531937.1
BHE81_RS02190,glutathione S-transferase family protein,WP_002889850.1
BHE81_RS02195,PTS galactitol transporter subunit IIC,WP_012737442.1
BHE81_RS02200,2-hydroxyacid dehydrogenase,WP_004177325.1
BHE81_RS02205,SDR family NAD(P)-dependent oxidoreductase,WP_004177323.1
BHE81_RS02210,FGGY-family carbohydrate kinase,WP_023302281.1
BHE81_RS02215,glycerol-3-phosphate responsive antiterminator,WP_002889866.1
BHE81_RS02220,class I fructose-bisphosphate aldolase,WP_002889868.1
BHE81_RS02230,zinc ribbon domain-containing protein,WP_002889874.1
BHE81_RS02235,dihydrolipoyl dehydrogenase,WP_004222818.1
BHE81_RS02240,2-oxo acid dehydrogenase subunit E2,WP_023279830.1
BHE81_RS02245,alpha-ketoacid dehydrogenase subunit beta,WP_002889881.1
BHE81_RS02250,thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha,WP_023302280.1
BHE81_RS02255,LuxR C-terminal-related transcriptional regulator,WP_023302279.1
BHE81_RS02260,hypothetical protein,WP_024622904.1
BHE81_RS02265,TA system toxin CbtA family protein,WP_024622903.1
BHE81_RS02270,type IV toxin-antitoxin system YeeU family antitoxin,WP_023302278.1
BHE81_RS02275,DUF987 domain-containing protein,WP_023302277.1
BHE81_RS02280,JAB domain-containing protein,WP_023302276.1
BHE81_RS02285,antirestriction protein,WP_023302275.1
BHE81_RS02290,DUF905 domain-containing protein,WP_032410024.1
BHE81_RS02295,hypothetical protein,WP_110246686.1
BHE81_RS02300,hypothetical protein,WP_023301392.1
BHE81_RS02305,DUF4339 domain-containing protein,WP_023302273.1
BHE81_RS02310,DeoR family transcriptional regulator,WP_023302272.1
BHE81_RS02315,DUF932 domain-containing protein,WP_023302271.1
BHE81_RS02320,GTPase family protein,WP_023302270.1
BHE81_RS02325,hypothetical protein,WP_223363217.1
BHE81_RS02330,inovirus-type Gp2 protein,WP_023302268.1
BHE81_RS02335,helix-turn-helix transcriptional regulator,WP_023302267.1
BHE81_RS02340,hypothetical protein,WP_023302266.1
BHE81_RS02345,integrase core domain-containing protein,
BHE81_RS02350,YkvA family protein,WP_023302265.1
BHE81_RS29090,integrase core domain-containing protein,
BHE81_RS29000,type I restriction-modification enzyme R subunit C-terminal domain-containing protein,
BHE81_RS02370,restriction endonuclease subunit S,WP_149888781.1
BHE81_RS02375,AAA family ATPase,WP_023302262.1
BHE81_RS02380,hypothetical protein,WP_023302261.1
BHE81_RS02385,HsdM family class I SAM-dependent methyltransferase,WP_029499360.1
BHE81_RS29095,DUF2326 domain-containing protein,WP_352665365.1
BHE81_RS02395,hypothetical protein,WP_023302259.1
BHE81_RS02400,tyrosine-type recombinase/integrase,WP_023302257.1
BHE81_RS02410,glutamate-5-semialdehyde dehydrogenase,WP_023302256.1
BHE81_RS02415,glutamate 5-kinase,WP_004144574.1
BHE81_RS02420,phosphoporin PhoE,WP_004144576.1
BHE81_RS02425,C40 family peptidase,WP_004191825.1
BHE81_RS02435,DMT family transporter,WP_023300784.1
BHE81_RS02440,HAD family hydrolase,WP_004177299.1
BHE81_RS02445,MoaF C-terminal domain-containing protein,WP_023342951.1
BHE81_RS02450,SDR family NAD(P)-dependent oxidoreductase,WP_023342950.1
BHE81_RS02455,arylsulfatase,WP_023279761.1
BHE81_RS02460,anaerobic sulfatase maturase,WP_023342948.1
BHE81_RS02465,helix-turn-helix transcriptional regulator,WP_002892774.1
BHE81_RS02470,MFS transporter,WP_023284814.1
BHE81_RS02475,class II histone deacetylase,WP_023342946.1
BHE81_RS02480,DUF3156 family protein,WP_023302210.1
BHE81_RS02485,APC family permease,WP_149888782.1
BHE81_RS02490,hypothetical protein,WP_004183278.1
BHE81_RS02495,cupin domain-containing protein,WP_002892824.1
BHE81_RS02500,NAD(P)/FAD-dependent oxidoreductase,WP_004176990.1
BHE81_RS02505,aldehyde dehydrogenase family protein,WP_004178887.1
BHE81_RS02510,YncE family protein,WP_004147457.1
BHE81_RS02515,TonB-dependent receptor,WP_023342945.1
BHE81_RS02520,phenylalanine transporter,WP_023342944.1
BHE81_RS02525,MFS transporter,WP_004198867.1
BHE81_RS02530,sugar phosphate isomerase/epimerase family protein,WP_020804837.1
BHE81_RS02535,Gfo/Idh/MocA family protein,WP_023302207.1
BHE81_RS02540,Exc2 family lipoprotein,WP_004202462.1
BHE81_RS02545,LacI family DNA-binding transcriptional regulator,WP_004176981.1
BHE81_RS02550,mechanosensitive ion channel family protein,WP_004191456.1
BHE81_RS02555,MFS transporter,WP_023300814.1
BHE81_RS02560,helix-turn-helix transcriptional regulator,WP_004151823.1
BHE81_RS28000,LysR family transcriptional regulator,WP_087636940.1
BHE81_RS02565,phosphonate ABC transporter%2C permease protein PhnE,WP_004183119.1
BHE81_RS02570,phosphonate ABC transporter%2C permease protein PhnE,WP_002890001.1
BHE81_RS02575,phosphonate ABC transporter substrate-binding protein,WP_002890002.1
BHE81_RS02580,phosphonate ABC transporter ATP-binding protein,WP_004177295.1
BHE81_RS02585,ECP biosynthesis operon DNA-binding transcriptional regulator EcpR,WP_004144585.1
BHE81_RS02590,common pilus major fimbrillin subunit EcpA,WP_002890053.1
BHE81_RS02595,fimbrial chaperone EcpB,WP_004144586.1
BHE81_RS02600,fimbrial biogenesis outer membrane usher protein,WP_023302252.1
BHE81_RS02605,fimbrial adhesin EcpD,WP_004183123.1
BHE81_RS02610,fimbria/pilus periplasmic chaperone,WP_002890061.1
BHE81_RS02615,amino acid ABC transporter permease,WP_004177292.1
BHE81_RS02620,amino acid ABC transporter permease,WP_004178715.1
BHE81_RS02625,amino acid ABC transporter ATP-binding protein,WP_004151355.1
BHE81_RS02630,ABC transporter substrate-binding protein,WP_002890106.1
BHE81_RS02640,hypothetical protein,WP_002890108.1
BHE81_RS02645,ABC transporter ATP-binding protein,WP_002890126.1
BHE81_RS02650,ABC transporter ATP-binding protein,WP_004151354.1
BHE81_RS02655,branched-chain amino acid ABC transporter permease,WP_004144594.1
BHE81_RS02660,branched-chain amino acid ABC transporter permease,WP_002890128.1
BHE81_RS02665,ABC transporter substrate-binding protein,WP_004147267.1
BHE81_RS28005,hypothetical protein,WP_004144596.1
BHE81_RS02670,ethanolamine ammonia-lyase subunit EutC,WP_023302249.1
BHE81_RS02675,ethanolamine ammonia-lyase subunit EutB,WP_004183139.1
BHE81_RS02680,ethanolamine permease,WP_004177284.1
BHE81_RS28010,hypothetical protein,WP_004217023.1
BHE81_RS02685,S-methylmethionine permease,WP_023302248.1
BHE81_RS02690,homocysteine S-methyltransferase,WP_004144601.1
BHE81_RS02695,taurine ABC transporter substrate-binding protein,WP_002890192.1
BHE81_RS02700,taurine ABC transporter ATP-binding subunit,WP_002890194.1
BHE81_RS02705,taurine ABC transporter permease TauC,WP_004144603.1
BHE81_RS02710,taurine dioxygenase,WP_019725514.1
BHE81_RS02715,lysophospholipid acyltransferase family protein,WP_020802619.1
BHE81_RS02720,REP-associated tyrosine transposase,WP_004178721.1
BHE81_RS02725,porphobilinogen synthase,WP_002890201.1
BHE81_RS02730,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH,WP_004147279.1
BHE81_RS02735,isochorismatase family protein,WP_072145332.1
BHE81_RS02740,peptide antibiotic transporter SbmA,WP_004178724.1
BHE81_RS02745,DUF1615 domain-containing protein,WP_002890207.1
BHE81_RS02750,YaiY family protein,WP_002890210.1
BHE81_RS02755,DUF2754 family protein,WP_002890215.1
BHE81_RS02760,D-alanine--D-alanine ligase,WP_004151348.1
BHE81_RS02765,extensin family protein,WP_004151347.1
BHE81_RS02770,multidrug efflux MFS transporter,WP_110246389.1
BHE81_RS02775,anti-adapter protein IraP,WP_002890221.1
BHE81_RS02780,alkaline phosphatase,WP_024622895.1
BHE81_RS02785,PsiF family protein,WP_002890225.1
BHE81_RS02790,pyrroline-5-carboxylate reductase,WP_004177276.1
BHE81_RS02795,YaiI/YqxD family protein,WP_023302244.1
BHE81_RS02800,DUF2076 domain-containing protein,WP_002890273.1
BHE81_RS02805,shikimate kinase AroL,WP_016946570.1
BHE81_RS02810,YaiA family protein,WP_002890278.1
BHE81_RS02815,AroM family protein,WP_072196906.1
BHE81_RS02820,pyrimidine/purine nucleoside phosphorylase,WP_002890284.1
BHE81_RS02825,recombination-associated protein RdgC,WP_023342977.1
BHE81_RS02830,fructokinase,WP_023342976.1
BHE81_RS02835,exonuclease subunit SbcC,WP_023342975.1
BHE81_RS02840,exonuclease subunit SbcD,WP_023284724.1
BHE81_RS02845,phosphate response regulator transcription factor PhoB,WP_002890343.1
BHE81_RS02850,phosphate regulon sensor histidine kinase PhoR,WP_002890344.1
BHE81_RS02855,branched-chain amino acid transporter carrier protein BrnQ,WP_004144627.1
BHE81_RS02860,proline-specific permease ProY,WP_009485323.1
BHE81_RS02865,maltodextrin glucosidase,WP_023302242.1
BHE81_RS02870,LysR substrate-binding domain-containing protein,WP_002890353.1
BHE81_RS02875,hydrolase,WP_002890357.1
BHE81_RS02880,antibiotic biosynthesis monooxygenase,WP_002890365.1
BHE81_RS02885,amidohydrolase,WP_002890368.1
BHE81_RS02890,class II fructose-1%2C6-bisphosphate aldolase,WP_072145331.1
BHE81_RS02895,carbohydrate kinase family protein,WP_002890372.1
BHE81_RS02900,PTS ascorbate transporter subunit IIC,WP_004151345.1
BHE81_RS02905,PTS sugar transporter subunit IIB,WP_002890376.1
BHE81_RS02910,PTS sugar transporter subunit IIA,WP_002890380.1
BHE81_RS28015,hypothetical protein,WP_032410022.1
BHE81_RS02915,peroxiredoxin,WP_002890386.1
BHE81_RS02920,ACP phosphodiesterase,WP_004178734.1
BHE81_RS28020,hypothetical protein,WP_004218831.1
BHE81_RS02925,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,WP_002890390.1
BHE81_RS02930,tRNA guanosine(34) transglycosylase Tgt,WP_002890395.1
BHE81_RS02935,preprotein translocase subunit YajC,WP_002890398.1
BHE81_RS02940,protein translocase subunit SecD,WP_002890400.1
BHE81_RS02945,protein translocase subunit SecF,WP_002890403.1
BHE81_RS02950,VOC family protein,WP_020802573.1
BHE81_RS02955,helix-turn-helix transcriptional regulator,WP_016529544.1
BHE81_RS02960,nucleoside-specific channel-forming protein Tsx,WP_002890412.1
BHE81_RS02965,DUF3251 domain-containing protein,WP_023302239.1
BHE81_RS02970,transcriptional regulator NrdR,WP_002890417.1
BHE81_RS02975,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,WP_004144650.1
BHE81_RS02980,6%2C7-dimethyl-8-ribityllumazine synthase,WP_001021161.1
BHE81_RS02985,transcription antitermination factor NusB,WP_002891356.1
BHE81_RS02990,thiamine-phosphate kinase,WP_004178737.1
BHE81_RS02995,phosphatidylglycerophosphatase A,WP_004177266.1
BHE81_RS03000,aldo/keto reductase,WP_023302238.1
BHE81_RS03005,1-deoxy-D-xylulose-5-phosphate synthase,WP_110246390.1
BHE81_RS03010,(2E%2C6E)-farnesyl diphosphate synthase,WP_004144656.1
BHE81_RS03015,exodeoxyribonuclease VII small subunit,WP_002891398.1
BHE81_RS03020,tRNA uracil 4-sulfurtransferase ThiI,WP_004151340.1
BHE81_RS03025,SRPBCC family protein,WP_110246391.1
BHE81_RS03030,protein deglycase YajL,WP_002891460.1
BHE81_RS03035,2-dehydropantoate 2-reductase,WP_004178742.1
BHE81_RS03040,YajQ family cyclic di-GMP-binding protein,WP_002891465.1
BHE81_RS03045,MFS transporter,WP_004144660.1
BHE81_RS03050,Gfo/Idh/MocA family protein,WP_004191717.1
BHE81_RS03055,MFS transporter,WP_002891473.1
BHE81_RS03060,sugar phosphate isomerase/epimerase family protein,WP_023302237.1
BHE81_RS03065,FAD-dependent oxidoreductase,WP_023302236.1
BHE81_RS03070,NIPSNAP family protein,WP_002891541.1
BHE81_RS03075,FAD-dependent oxidoreductase,WP_023302235.1
BHE81_RS03080,shikimate dehydrogenase family protein,WP_019705321.1
BHE81_RS03085,IclR family transcriptional regulator domain-containing protein,WP_002891624.1
BHE81_RS03090,hypothetical protein,WP_004178748.1
BHE81_RS03095,heme o synthase,WP_002891629.1
BHE81_RS03100,cytochrome o ubiquinol oxidase subunit IV,WP_002891634.1
BHE81_RS03105,cytochrome o ubiquinol oxidase subunit III,WP_002891635.1
BHE81_RS03110,cytochrome o ubiquinol oxidase subunit I,WP_002891638.1
BHE81_RS03115,cytochrome o ubiquinol oxidase subunit II,WP_002891641.1
BHE81_RS03120,muropeptide MFS transporter AmpG,WP_004178749.1
BHE81_RS03125,lipoprotein,WP_002891647.1
BHE81_RS03130,transcriptional regulator BolA,WP_002891649.1
BHE81_RS03145,trigger factor,WP_004147333.1
BHE81_RS03150,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_002891804.1
BHE81_RS03155,ATP-dependent protease ATP-binding subunit ClpX,WP_002891807.1
BHE81_RS03160,endopeptidase La,WP_004151336.1
BHE81_RS03165,nucleoid-associated protein HU-beta,WP_002444653.1
BHE81_RS03170,peptidylprolyl isomerase,WP_023302234.1
BHE81_RS03175,helix-hairpin-helix domain-containing protein,WP_002891859.1
BHE81_RS03180,YbgC/FadM family acyl-CoA thioesterase,WP_002891860.1
BHE81_RS03185,7-cyano-7-deazaguanine synthase QueC,WP_002891863.1
BHE81_RS03190,SgrR family transcriptional regulator,WP_023302233.1
BHE81_RS03195,HMP-PP phosphatase,WP_004151335.1
BHE81_RS03200,PLP-dependent cysteine synthase family protein,WP_009307943.1
BHE81_RS03205,Lrp/AsnC family transcriptional regulator,WP_002891873.1
BHE81_RS03210,SmdA family multidrug ABC transporter permease/ATP-binding protein,WP_004147344.1
BHE81_RS03215,SmdB family multidrug efflux ABC transporter permease/ATP-binding protein,WP_004147345.1
BHE81_RS03220,P-II family nitrogen regulator,WP_002891893.1
BHE81_RS03225,ammonium transporter AmtB,WP_004152876.1
BHE81_RS03230,acyl-CoA thioesterase II,WP_002891899.1
BHE81_RS03235,YbaY family lipoprotein,WP_002891903.1
BHE81_RS03240,MGMT family protein,WP_004142687.1
BHE81_RS03245,dTDP-glucose pyrophosphorylase,WP_004178755.1
BHE81_RS03255,hypothetical protein,WP_004147352.1
BHE81_RS03260,hypothetical protein,WP_004142688.1
BHE81_RS03265,PLP-dependent aminotransferase family protein,WP_004191652.1
BHE81_RS03270,YczE/YyaS/YitT family protein,WP_004183194.1
BHE81_RS03275,nickel/cobalt efflux protein RcnA,WP_023284740.1
BHE81_RS03280,metal/formaldehyde-sensitive transcriptional repressor,WP_023316515.1
BHE81_RS03285,EAL domain-containing protein,WP_009307950.1
BHE81_RS03290,ABC transporter ATP-binding protein,WP_004178760.1
BHE81_RS03295,maltodextrin ABC transporter substrate-binding protein,WP_002891991.1
BHE81_RS03300,carbohydrate ABC transporter permease,WP_004177243.1
BHE81_RS03305,sugar ABC transporter permease,WP_000079398.1
BHE81_RS03310,glycoside hydrolase family 53 protein,WP_004178761.1
BHE81_RS03315,beta-galactosidase,WP_004177241.1
BHE81_RS03320,glucose PTS transporter subunit EIIB,WP_002892003.1
BHE81_RS03325,maltoporin,WP_004177240.1
BHE81_RS03330,LacI family DNA-binding transcriptional regulator,WP_002892007.1
BHE81_RS03335,type B 50S ribosomal protein L31,WP_002892011.1
BHE81_RS03340,type B 50S ribosomal protein L36,WP_002892018.1
BHE81_RS03345,GNAT family N-acetyltransferase,WP_002892021.1
BHE81_RS03350,PLP-dependent aminotransferase family protein,WP_023302231.1
BHE81_RS03355,YlaC family protein,WP_002892026.1
BHE81_RS28025,hypothetical protein,WP_004147370.1
BHE81_RS03360,maltose O-acetyltransferase,WP_002892030.1
BHE81_RS03365,HHA domain-containing protein,WP_002892050.1
BHE81_RS03370,Hha toxicity modulator TomB,WP_002892066.1
BHE81_RS03375,multidrug efflux RND transporter permease subunit AcrB,WP_002892069.1
BHE81_RS03380,multidrug efflux RND transporter periplasmic adaptor subunit AcrA,WP_004177236.1
BHE81_RS03385,multidrug efflux transporter transcriptional repressor AcrR,WP_002892080.1
BHE81_RS03390,mechanosensitive channel MscK,WP_004142927.1
BHE81_RS03395,Rpn family recombination-promoting nuclease/putative transposase,WP_023342970.1
BHE81_RS03400,pleiotropic regulatory protein RsmS,WP_002892136.1
BHE81_RS03405,primosomal replication protein N'',WP_002892142.1
BHE81_RS03410,DUF454 family protein,WP_023342969.1
BHE81_RS03415,adenine phosphoribosyltransferase,WP_002892145.1
BHE81_RS28535,DNA polymerase III subunit gamma/tau,WP_142370618.1
BHE81_RS28540,DNA polymerase III subunit gamma/tau C-terminal domain-containing protein,WP_323126089.1
BHE81_RS03425,YbaB/EbfC family nucleoid-associated protein,WP_002892173.1
BHE81_RS03430,recombination mediator RecR,WP_002892177.1
BHE81_RS03435,molecular chaperone HtpG,WP_004177228.1
BHE81_RS03440,adenylate kinase,WP_002892184.1
BHE81_RS03445,ferrochelatase,WP_023342968.1
BHE81_RS03450,inosine/guanosine kinase,WP_023342967.1
BHE81_RS03455,YbaL family putative K(+) efflux transporter,WP_002892195.1
BHE81_RS03460,MFS transporter,WP_004147385.1
BHE81_RS03465,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA,WP_023342965.1
BHE81_RS03470,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,WP_002892205.1
BHE81_RS03475,TraB/GumN family protein,WP_023342964.1
BHE81_RS03480,copper-exporting P-type ATPase CopA,WP_004178775.1
BHE81_RS03485,Cu(I)-responsive transcriptional regulator,WP_002892208.1
BHE81_RS03490,NfeD family protein,WP_004142979.1
BHE81_RS03495,SPFH domain-containing protein,WP_002892258.1
BHE81_RS03500,iron efflux ABC transporter ATP-binding subunit FetA,WP_149888783.1
BHE81_RS03505,iron efflux ABC transporter permease subunit FetB,WP_004177223.1
BHE81_RS03515,co-chaperone YbbN,WP_002892263.1
BHE81_RS03520,SDR family oxidoreductase,WP_009484702.1
BHE81_RS03525,multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1,WP_004196998.1
BHE81_RS03530,putative ABC transporter ATP-binding protein YbbA,WP_004146399.1
BHE81_RS03535,putative ABC transporter permease subunit YbbP,WP_023342962.1
BHE81_RS28030,hypothetical protein,WP_004219504.1
BHE81_RS03540,porin,WP_004142997.1
BHE81_RS03545,tRNA 2-selenouridine(34) synthase MnmH,WP_023302226.1
BHE81_RS03550,5-(carboxyamino)imidazole ribonucleotide synthase,WP_004143002.1
BHE81_RS03555,5-(carboxyamino)imidazole ribonucleotide mutase,WP_020802618.1
BHE81_RS03560,hypothetical protein,WP_004893771.1
BHE81_RS03565,UDP-2%2C3-diacylglucosamine diphosphatase,WP_004178782.1
BHE81_RS03570,peptidylprolyl isomerase B,WP_004151319.1
BHE81_RS03575,cysteine--tRNA ligase,WP_023302225.1
BHE81_RS03580,ribosome-associated protein YbcJ,WP_004143016.1
BHE81_RS03585,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,WP_004143017.1
BHE81_RS28545,integrase,
BHE81_RS03600,hypothetical protein,WP_002892360.1
BHE81_RS03605,hydroxyisourate hydrolase,WP_023302224.1
BHE81_RS03610,hypothetical protein,WP_002892370.1
BHE81_RS28035,hypothetical protein,WP_032409092.1
BHE81_RS03615,citrate synthase,WP_025368381.1
BHE81_RS03620,hypothetical protein,WP_004191501.1
BHE81_RS03625,LuxR family transcriptional regulator,
BHE81_RS03630,fimbrial protein,WP_009308069.1
BHE81_RS28550,molecular chaperone,WP_228268698.1
BHE81_RS28555,molecular chaperone,WP_228268699.1
BHE81_RS03640,fimbria/pilus outer membrane usher protein,WP_023342960.1
BHE81_RS03645,fimbrial protein,WP_023342959.1
BHE81_RS03650,GNAT family N-acetyltransferase,WP_023342958.1
BHE81_RS03655,Kdo(2)-lipid IV(A) acyltransferase,WP_002892400.1
BHE81_RS03660,DUF1471 domain-containing protein,WP_002892402.1
BHE81_RS28560,winged helix-turn-helix domain-containing protein,WP_032459204.1
BHE81_RS03670,lysine decarboxylation/transport transcriptional activator CadC,WP_149888785.1
BHE81_RS03675,cadaverine/lysine antiporter,WP_002892484.1
BHE81_RS03680,lysine decarboxylase CadA,WP_002892486.1
BHE81_RS03685,dipeptide permease DtpD,WP_004151795.1
BHE81_RS03690,lysine--tRNA ligase,WP_023342957.1
BHE81_RS03695,hypothetical protein,WP_023342956.1
BHE81_RS03700,myo-inosose-2 dehydratase,WP_016946539.1
BHE81_RS03705,Gfo/Idh/MocA family protein,WP_004142667.1
BHE81_RS03710,Gfo/Idh/MocA family protein,WP_021463030.1
BHE81_RS03715,Gfo/Idh/MocA family oxidoreductase,WP_149888784.1
BHE81_RS03720,LacI family DNA-binding transcriptional regulator,WP_004191476.1
BHE81_RS03725,sugar ABC transporter substrate-binding protein,WP_002892597.1
BHE81_RS03730,sugar ABC transporter ATP-binding protein,WP_004142660.1
BHE81_RS03735,ABC transporter permease,WP_004152946.1
BHE81_RS03740,hypothetical protein,
BHE81_RS03745,LacI family DNA-binding transcriptional regulator,WP_014907957.1
BHE81_RS03750,sucrose-6-phosphate hydrolase,WP_023286115.1
BHE81_RS03755,sucrose-specific PTS transporter subunit IIBC,WP_023342954.1
BHE81_RS03760,carbohydrate porin,WP_004147437.1
BHE81_RS03765,aminoimidazole riboside kinase,WP_023342953.1
BHE81_RS03770,helix-turn-helix domain-containing protein,WP_004151802.1
BHE81_RS03775,DUF3302 domain-containing protein,WP_002892695.1
BHE81_RS03780,HlyD family secretion protein,WP_023342952.1
BHE81_RS03785,ABC transporter ATP-binding protein,WP_002892698.1
BHE81_RS03790,FecCD family ABC transporter permease,WP_004217904.1
BHE81_RS03795,ABC transporter substrate-binding protein,WP_004191469.1
BHE81_RS03800,hypothetical protein,WP_002892699.1
BHE81_RS03805,RcnB family protein,WP_002892701.1
BHE81_RS28040,hypothetical protein,WP_002892703.1
BHE81_RS28045,hypothetical protein,WP_020316933.1
BHE81_RS03810,M20 aminoacylase family protein,WP_004176999.1
BHE81_RS03815,ABC transporter substrate-binding protein,WP_002892707.1
BHE81_RS03820,aldo/keto reductase,WP_004147443.1
BHE81_RS03825,acid phosphatase PhoC,WP_002901387.1
BHE81_RS03830,selenide%2C water dikinase SelD,WP_004176528.1
BHE81_RS03835,DNA topoisomerase III,WP_004148065.1
BHE81_RS03840,NAD(P)H-quinone oxidoreductase,WP_004140406.1
BHE81_RS03845,NADP-specific glutamate dehydrogenase,WP_004176526.1
BHE81_RS03850,pyrimidine (deoxy)nucleoside triphosphate diphosphatase,WP_004176525.1
BHE81_RS03855,CDP-alcohol phosphatidyltransferase family protein,WP_002901398.1
BHE81_RS03860,sulfurtransferase,WP_004214268.1
BHE81_RS03865,ATP-binding cassette domain-containing protein,WP_004151926.1
BHE81_RS28565,ABC transporter permease subunit,WP_228268700.1
BHE81_RS28570,thiamine ABC transporter permease,
BHE81_RS03875,ABC transporter substrate-binding protein,WP_004224226.1
BHE81_RS03880,carboxymuconolactone decarboxylase family protein,WP_023285006.1
BHE81_RS03885,TVP38/TMEM64 family protein,WP_004151923.1
BHE81_RS03890,TVP38/TMEM64 family protein,WP_004140389.1
BHE81_RS03895,exodeoxyribonuclease III,WP_002901486.1
BHE81_RS03900,aspartate aminotransferase family protein,WP_009309117.1
BHE81_RS03905,arginine N-succinyltransferase,WP_004183681.1
BHE81_RS03910,succinylglutamate-semialdehyde dehydrogenase,WP_023302051.1
BHE81_RS03915,N-succinylarginine dihydrolase,WP_016947395.1
BHE81_RS03920,succinylglutamate desuccinylase,WP_004224242.1
BHE81_RS03925,ATP-independent periplasmic protein-refolding chaperone Spy,WP_004217130.1
BHE81_RS03930,excinuclease Cho,WP_004176514.1
BHE81_RS03935,ammonia-dependent NAD(+) synthetase,WP_004151921.1
BHE81_RS03940,osmotically-inducible lipoprotein OsmE,WP_002901544.1
BHE81_RS03945,PTS N%2CN'-diacetylchitobiose transporter subunit IIB,WP_002901547.1
BHE81_RS28050,hypothetical protein,WP_004217133.1
BHE81_RS03950,PTS N%2CN'-diacetylchitobiose transporter subunit IIC,WP_004148091.1
BHE81_RS03955,PTS N%2CN'-diacetylchitobiose transporter subunit IIA,WP_004140356.1
BHE81_RS03960,transcriptional regulator ChbR,WP_002901552.1
BHE81_RS03965,6-phospho-beta-glucosidase,WP_004209901.1
BHE81_RS03970,chitin disaccharide deacetylase,WP_023279912.1
BHE81_RS03975,catalase HPII,WP_002901554.1
BHE81_RS03980,cell division activator CedA,WP_008807754.1
BHE81_RS03985,L-cystine transporter,WP_004151918.1
BHE81_RS03990,metal-dependent hydrolase,WP_002901611.1
BHE81_RS03995,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,WP_004176511.1
BHE81_RS04000,hexitol phosphatase HxpB,WP_004140335.1
BHE81_RS04005,YniB family protein,WP_023279913.1
BHE81_RS04010,acyl-CoA thioester hydrolase YciA,WP_002901629.1
BHE81_RS04015,TonB-dependent siderophore receptor,WP_110246672.1
BHE81_RS04020,septation protein A,WP_023279914.1
BHE81_RS04025,YciC family protein,WP_002901632.1
BHE81_RS04030,YkgJ family cysteine cluster protein,WP_002901633.1
BHE81_RS04035,outer membrane protein OmpW,WP_002901634.1
BHE81_RS04040,PKHD-type hydroxylase YbiX,WP_004140326.1
BHE81_RS04045,catecholate siderophore receptor Fiu,WP_023342878.1
BHE81_RS04050,SDR family NAD(P)-dependent oxidoreductase,WP_004183694.1
BHE81_RS04055,hypothetical protein,WP_004163829.1
BHE81_RS04060,quinone oxidoreductase family protein,WP_023279916.1
BHE81_RS04065,MarR family winged helix-turn-helix transcriptional regulator,WP_023279917.1
BHE81_RS04070,tryptophan synthase subunit alpha,WP_002901728.1
BHE81_RS04075,tryptophan synthase subunit beta,WP_004148107.1
BHE81_RS04080,bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF,WP_023302045.1
BHE81_RS04085,bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD,WP_004148109.1
BHE81_RS04090,anthranilate synthase component 1,WP_004176488.1
BHE81_RS04095,RNase RNM,WP_002901735.1
BHE81_RS04100,L-threonylcarbamoyladenylate synthase,WP_002901738.1
BHE81_RS04105,DMT family transporter,WP_004179459.1
BHE81_RS04110,transcriptional regulator GcvA,WP_023302044.1
BHE81_RS04115,23S rRNA pseudouridine(2605) synthase RluB,WP_002901746.1
BHE81_RS04120,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,WP_002901749.1
BHE81_RS04125,YciK family oxidoreductase,WP_024623009.1
BHE81_RS04130,hypothetical protein,WP_004210741.1
BHE81_RS04135,protease SohB,WP_002901758.1
BHE81_RS04140,YciN family protein,WP_002901761.1
BHE81_RS04145,type I DNA topoisomerase,WP_002901763.1
BHE81_RS04150,HTH-type transcriptional regulator CysB,WP_002901772.1
BHE81_RS04155,YmiA family putative membrane protein,WP_002901776.1
BHE81_RS04160,aconitate hydratase AcnA,WP_004176472.1
BHE81_RS04165,GTP cyclohydrolase II,WP_002901778.1
BHE81_RS04170,phosphatidylglycerophosphatase B,WP_002901779.1
BHE81_RS04175,LapA family protein,WP_002901780.1
BHE81_RS04180,lipopolysaccharide assembly protein LapB,WP_085875004.1
BHE81_RS04185,orotidine-5'-phosphate decarboxylase,WP_004151907.1
BHE81_RS04190,stress response translation initiation inhibitor YciH,WP_002901782.1
BHE81_RS04195,osmotically-inducible lipoprotein OsmB,WP_002901783.1
