gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS11250,gene_0276,K20276,ko01230,M2276,,metabolic enzyme,NO,-1.598781136485449
BHE81_RS11325,gene_0277,K20277,ko01230,M2277,,biosynthesis protein,NO,-2.455642996708904
BHE81_RS11330,gene_0278,K20278,ko00020,M2278,,biosynthesis protein,NO,-4.007874187918826
BHE81_RS11335,gene_0279,K20279,ko01230,M2279,,biosynthesis protein,NO,-7.000238295214063
BHE81_RS11340,gene_0280,K20280,ko01200,M2280,,metabolic enzyme,NO,-6.488597837600832
BHE81_RS11345,gene_0281,K20281,ko00020,M2281,,metabolic enzyme,NO,-4.918721274848231
BHE81_RS11350,gene_0282,K20282,ko01200,M2282,,metabolic enzyme,NO,-2.8883680691045512
BHE81_RS11390,gene_0283,K20283,ko01230,M2283,,metabolic enzyme,NO,-1.835625621688092
BHE81_RS11395,gene_0284,K20284,ko01230,M2284,,biosynthesis protein,NO,-2.550276801831823
BHE81_RS11400,gene_0285,K20285,ko01200,M2285,,metabolic enzyme,NO,-3.6641925407602383
BHE81_RS11405,gene_0286,K20286,ko01230,M2286,,biosynthesis protein,NO,-2.092044946427991
BHE81_RS11410,gene_0287,K20287,ko01230,M2287,,biosynthesis protein,NO,-2.610047465327024
BHE81_RS11415,gene_0288,K20288,ko01200,M2288,,biosynthesis protein,NO,-2.092020299820583
BHE81_RS11515,gene_0289,K20289,ko01230,M2289,,metabolic enzyme,NO,-1.6475124177764002
BHE81_RS11520,gene_0290,K20290,ko01200,M2290,,metabolic enzyme,NO,-1.439935649206412
BHE81_RS11525,gene_0291,K20291,ko00920,M2291,,ion channel,NO,-1.1663288215173515
BHE81_RS11540,gene_0292,K20292,ko00920,M2292,,ABC transporter,NO,-1.6050556363493498
BHE81_RS28215,gene_0293,K20293,ko03410,M2293,,oxidative stress protein,NO,2.211310236088899
BHE81_RS11665,gene_0294,K20294,ko01200,M2294,,biosynthesis protein,NO,-1.237985001384227
BHE81_RS11710,gene_0295,K20295,ko02020,M2295,,stress response regulator,NO,1.267128053000889
BHE81_RS11730,gene_0296,K20296,ko02010,M2296,,ion channel,NO,1.8498571271275672
BHE81_RS11800,gene_0297,K20297,ko00920,M2297,,ion channel,NO,-1.1552576090412567
BHE81_RS11815,gene_0298,K20298,ko00920,M2298,,ABC transporter,NO,-1.9492065074797271
BHE81_RS11820,gene_0299,K20299,ko02020,M2299,,oxidative stress protein,NO,1.7393861082657676
BHE81_RS11825,gene_0300,K20300,ko00190,M2300,,oxidative stress protein,NO,2.7049932220687807
BHE81_RS11850,gene_0301,K20301,ko01200,M2301,,metabolic enzyme,NO,-3.1298233960232147
BHE81_RS11895,gene_0302,K20302,ko00190,M2302,,oxidative stress protein,NO,2.483170081917613
BHE81_RS11900,gene_0303,K20303,ko00190,M2303,,oxidative stress protein,NO,1.0994977693445127
BHE81_RS11925,gene_0304,K20304,ko03410,M2304,,DNA repair enzyme,NO,2.0008380837703177
BHE81_RS11970,gene_0305,K20305,ko00020,M2305,,biosynthesis protein,NO,-1.0029814094086495
BHE81_RS11975,gene_0306,K20306,ko02020,M2306,,stress response regulator,NO,1.3210512330266666
BHE81_RS12090,gene_0307,K20307,ko00520,M2307,,precursor synthesis,NO,1.8438767470732285
BHE81_RS12095,gene_0308,K20308,ko00520,M2308,,polymerization enzyme,NO,1.194822467105079
BHE81_RS12100,gene_0309,K20309,ko02020,M2309,,DNA repair enzyme,NO,1.7848513757796196
BHE81_RS12110,gene_0310,K20310,ko00020,M2310,,metabolic enzyme,NO,-3.6769241597294777
BHE81_RS12210,gene_0311,K20311,ko01230,M2311,,biosynthesis protein,NO,-2.368860487481326
BHE81_RS12215,gene_0312,K20312,ko01230,M2312,,catabolic enzyme,NO,-1.401981796487585
BHE81_RS12220,gene_0313,K20313,ko00020,M2313,,metabolic enzyme,NO,-2.529462861037799
BHE81_RS12225,gene_0314,K20314,ko01230,M2314,,catabolic enzyme,NO,-2.11793454263056
BHE81_RS12530,gene_0315,K20315,ko01200,M2315,,metabolic enzyme,NO,-1.415523909800754
BHE81_RS12535,gene_0316,K20316,ko01060,M2316,,biosynthetic enzyme,NO,1.0874699104203436
BHE81_RS12555,gene_0317,K20317,ko03410,M2317,,DNA repair enzyme,NO,1.4107055220467002
BHE81_RS12560,gene_0318,K20318,ko00520,M2318,,biosynthetic enzyme,NO,1.4849173122906096
BHE81_RS12565,gene_0319,K20319,ko02010,M2319,,ion channel,NO,1.857217184259056
BHE81_RS12570,rpoE,K02693,ko02020,M1320,1.11.1.15,RNA polymerase sigma factor,YES,1.3123688760674557
BHE81_RS12575,gene_0321,K20321,ko02020,M2321,,stress response regulator,NO,2.393979438326951
BHE81_RS12580,gene_0322,K20322,ko00190,M2322,,DNA repair enzyme,NO,1.7633336439447247
BHE81_RS12590,gene_0323,K20323,ko02020,M2323,,DNA repair enzyme,NO,2.668612788163993
BHE81_RS12750,gene_0324,K20324,ko03410,M2324,,DNA repair enzyme,NO,1.056075560600689
BHE81_RS12755,gene_0325,K20325,ko00920,M2325,,ion channel,NO,1.521781485892827
BHE81_RS12760,gene_0326,K20326,ko02020,M2326,,oxidative stress protein,NO,1.6706664348713849
BHE81_RS12785,gene_0327,K20327,ko01200,M2327,,catabolic enzyme,NO,-5.093576496983265
BHE81_RS12890,gene_0328,K20328,ko01200,M2328,,biosynthesis protein,NO,-1.4291126367903402
BHE81_RS12895,gene_0329,K20329,ko02010,M2329,,ion channel,NO,-1.5344343699338976
BHE81_RS12960,gene_0330,K20330,ko01060,M2330,,precursor synthesis,NO,1.457057189075917
BHE81_RS12970,gene_0331,K20331,ko01060,M2331,,precursor synthesis,NO,1.4918081398018668
BHE81_RS13170,gene_0332,K20332,ko00520,M2332,,biosynthetic enzyme,NO,1.415603439371247
BHE81_RS13200,gene_0333,K20333,ko03410,M2333,,stress response regulator,NO,2.173025844116459
BHE81_RS13225,gene_0334,K20334,ko02020,M2334,,oxidative stress protein,NO,2.9962410726875106
BHE81_RS13230,gene_0335,K20335,ko00920,M2335,,membrane transporter,NO,1.678849135264772
BHE81_RS13240,gene_0336,K20336,ko00190,M2336,,oxidative stress protein,NO,2.7786190560781976
BHE81_RS13255,gene_0337,K20337,ko02020,M2337,,stress response regulator,NO,3.732153586107697
BHE81_RS13260,gene_0338,K20338,ko02020,M2338,,DNA repair enzyme,NO,2.6851138942990795
BHE81_RS13265,gene_0339,K20339,ko00920,M2339,,ABC transporter,NO,1.991660608211828
BHE81_RS13370,gene_0340,K20340,ko00190,M2340,,stress response regulator,NO,1.2905305597526284
BHE81_RS13405,gene_0341,K20341,ko01200,M2341,,catabolic enzyme,NO,-2.5356927259660043
BHE81_RS13410,gene_0342,K20342,ko01230,M2342,,catabolic enzyme,NO,-2.7782403456434888
BHE81_RS13420,gene_0343,K20343,ko01200,M2343,,catabolic enzyme,NO,-2.575312482719208
BHE81_RS13435,gene_0344,K20344,ko02010,M2344,,ion channel,NO,-1.8466715215580252
BHE81_RS13440,gene_0345,K20345,ko00920,M2345,,ABC transporter,NO,-1.1047376766609582
BHE81_RS13560,gene_0346,K20346,ko01230,M2346,,catabolic enzyme,NO,-4.024023924257944
BHE81_RS13565,gene_0347,K20347,ko01230,M2347,,metabolic enzyme,NO,-4.337499328465071
BHE81_RS13625,gene_0348,K20348,ko02020,M2348,,DNA repair enzyme,NO,3.909521301450063
BHE81_RS13630,gene_0349,K20349,ko03410,M2349,,stress response regulator,NO,4.551376151636683
BHE81_RS13635,gene_0350,K20350,ko03410,M2350,,stress response regulator,NO,7.517500894247882
BHE81_RS13640,gene_0351,K20351,ko00190,M2351,,oxidative stress protein,NO,3.862570125050952
BHE81_RS13660,gene_0352,K20352,ko00190,M2352,,oxidative stress protein,NO,2.6226120467090106
BHE81_RS13665,gene_0353,K20353,ko02020,M2353,,DNA repair enzyme,NO,5.494735959404639
BHE81_RS13670,gene_0354,K20354,ko03410,M2354,,stress response regulator,NO,3.9229715448472966
BHE81_RS13675,gene_0355,K20355,ko03410,M2355,,DNA repair enzyme,NO,4.069312622996592
BHE81_RS13680,gene_0356,K20356,ko00190,M2356,,stress response regulator,NO,4.178309288416688
BHE81_RS13685,gene_0357,K20357,ko00190,M2357,,stress response regulator,NO,3.843678297953407
BHE81_RS13690,gene_0358,K20358,ko00190,M2358,,oxidative stress protein,NO,4.397134015584138
BHE81_RS13850,gene_0359,K20359,ko02010,M2359,,membrane transporter,NO,-1.587851344368002
BHE81_RS13855,gene_0360,K20360,ko00190,M2360,,stress response regulator,NO,2.264054202824456
BHE81_RS13885,gene_0361,K20361,ko00920,M2361,,ion channel,NO,-1.21479152750397
BHE81_RS13945,gene_0362,K20362,ko01200,M2362,,metabolic enzyme,NO,-1.300581083132225
BHE81_RS13950,gene_0363,K20363,ko00020,M2363,,metabolic enzyme,NO,-2.166130591071107
BHE81_RS13955,gene_0364,K20364,ko00020,M2364,,metabolic enzyme,NO,-1.1838231636619827
BHE81_RS13990,gene_0365,K20365,ko02020,M2365,,oxidative stress protein,NO,2.446229706344734
BHE81_RS14000,gene_0366,K20366,ko00190,M2366,,DNA repair enzyme,NO,3.2587193498534286
BHE81_RS14005,gene_0367,K20367,ko00190,M2367,,DNA repair enzyme,NO,4.315956281375204
BHE81_RS14010,gene_0368,K20368,ko01200,M2368,,catabolic enzyme,NO,-1.3241584835541151
BHE81_RS14015,gene_0369,K20369,ko01200,M2369,,metabolic enzyme,NO,-2.142192502471287
BHE81_RS14065,gene_0370,K20370,ko03410,M2370,,DNA repair enzyme,NO,3.198497753780863
BHE81_RS14100,gene_0371,K20371,ko01230,M2371,,catabolic enzyme,NO,-2.647411533797388
BHE81_RS14105,gene_0372,K20372,ko01200,M2372,,metabolic enzyme,NO,-1.8734267581685309
BHE81_RS14115,gene_0373,K20373,ko01200,M2373,,biosynthesis protein,NO,-3.454234252598724
BHE81_RS14125,gene_0374,K20374,ko00020,M2374,,metabolic enzyme,NO,-4.0095275728417406
BHE81_RS14130,gene_0375,K20375,ko01230,M2375,,metabolic enzyme,NO,-3.46240673607136
BHE81_RS14135,gene_0376,K20376,ko01200,M2376,,catabolic enzyme,NO,-2.9505385342405166
BHE81_RS14140,gene_0377,K20377,ko00020,M2377,,biosynthesis protein,NO,-4.19974379995193
BHE81_RS14145,gene_0378,K20378,ko00020,M2378,,catabolic enzyme,NO,-4.929167587074634
BHE81_RS28770,gene_0379,K20379,ko00020,M2379,,metabolic enzyme,NO,-5.239301562918378
BHE81_RS28775,gene_0380,K20380,ko01200,M2380,,catabolic enzyme,NO,-5.441827136896311
BHE81_RS14155,gene_0381,K20381,ko01200,M2381,,biosynthesis protein,NO,-6.427869661957287
BHE81_RS28780,gene_0382,K20382,ko01230,M2382,,catabolic enzyme,NO,-5.571835317901789
BHE81_RS28785,gene_0383,K20383,ko00020,M2383,,metabolic enzyme,NO,-5.69721521329245
BHE81_RS14165,gene_0384,K20384,ko01230,M2384,,metabolic enzyme,NO,-4.502433407645669
BHE81_RS14170,gene_0385,K20385,ko01200,M2385,,catabolic enzyme,NO,-6.2841544827281615
BHE81_RS14175,gene_0386,K20386,ko01200,M2386,,catabolic enzyme,NO,-5.589347415538845
BHE81_RS14180,gene_0387,K20387,ko01230,M2387,,biosynthesis protein,NO,-4.9247322110779965
BHE81_RS14185,gene_0388,K20388,ko01200,M2388,,catabolic enzyme,NO,-4.364579269302667
BHE81_RS14300,gene_0389,K20389,ko00020,M2389,,catabolic enzyme,NO,-1.210570990048206
BHE81_RS14370,gene_0390,K20390,ko00920,M2390,,membrane transporter,NO,1.61691785765151
BHE81_RS14425,gene_0391,K20391,ko00920,M2391,,ion channel,NO,-1.6716565816633036
BHE81_RS14430,gene_0392,K20392,ko01200,M2392,,metabolic enzyme,NO,-1.4225648399011186
BHE81_RS14535,gene_0393,K20393,ko00920,M2393,,ion channel,NO,1.964581086250388
BHE81_RS14580,gene_0394,K20394,ko02010,M2394,,ABC transporter,NO,-1.3971760265550044
BHE81_RS14630,gene_0395,K20395,ko01230,M2395,,biosynthesis protein,NO,-1.7978772879316187
BHE81_RS14635,gene_0396,K20396,ko01200,M2396,,metabolic enzyme,NO,-4.214123029290352
BHE81_RS14640,gene_0397,K20397,ko00020,M2397,,metabolic enzyme,NO,-2.6845565516310987
BHE81_RS14650,gene_0398,K20398,ko00020,M2398,,catabolic enzyme,NO,-1.787818064860714
BHE81_RS14705,gene_0399,K20399,ko01230,M2399,,biosynthesis protein,NO,-2.420621045914654
BHE81_RS29035,gene_0400,K20400,ko01200,M2400,,metabolic enzyme,NO,-1.978248476672501
BHE81_RS14745,gene_0401,K20401,ko00920,M2401,,ABC transporter,NO,-1.406359389143084
BHE81_RS14770,gene_0402,K20402,ko00920,M2402,,ABC transporter,NO,-1.703507479563735
BHE81_RS14890,gene_0403,K20403,ko03410,M2403,,oxidative stress protein,NO,3.558680896316474
BHE81_RS14960,gene_0404,K20404,ko02010,M2404,,ABC transporter,NO,-1.517493117149202
BHE81_RS14985,gene_0405,K20405,ko00020,M2405,,metabolic enzyme,NO,-1.3678436462131411
BHE81_RS14990,gene_0406,K20406,ko02010,M2406,,ion channel,NO,1.273104319266019
BHE81_RS15015,gene_0407,K20407,ko02020,M2407,,oxidative stress protein,NO,2.053310417636653
BHE81_RS15045,gene_0408,K20408,ko00520,M2408,,biosynthetic enzyme,NO,1.2388437643631325
BHE81_RS15085,gene_0409,K20409,ko01230,M2409,,biosynthesis protein,NO,-2.570864748248516
BHE81_RS15135,gene_0410,K20410,ko00190,M2410,,stress response regulator,NO,1.0561823002009052
BHE81_RS15150,gene_0411,K20411,ko00920,M2411,,ABC transporter,NO,1.2149424457855305
BHE81_RS15190,gene_0412,K20412,ko03410,M2412,,stress response regulator,NO,3.2640466852002303
BHE81_RS15195,gene_0413,K20413,ko02020,M2413,,oxidative stress protein,NO,3.67357707377466
BHE81_RS15200,gene_0414,K20414,ko02020,M2414,,stress response regulator,NO,2.429230828239618
BHE81_RS15265,gene_0415,K20415,ko03410,M2415,,stress response regulator,NO,2.407486603310722
BHE81_RS15270,gene_0416,K20416,ko00920,M2416,,membrane transporter,NO,1.992496795659858
BHE81_RS15285,gene_0417,K20417,ko01230,M2417,,catabolic enzyme,NO,-1.4285344647197689
BHE81_RS15345,gene_0418,K20418,ko00920,M2418,,ion channel,NO,-1.423911165999751
BHE81_RS15410,gene_0419,K20419,ko00020,M2419,,catabolic enzyme,NO,-1.9462384727646476
BHE81_RS15420,gene_0420,K20420,ko01200,M2420,,metabolic enzyme,NO,-5.099864143272377
BHE81_RS15440,gene_0421,K20421,ko00190,M2421,,DNA repair enzyme,NO,3.1255894982834413
BHE81_RS15460,gene_0422,K20422,ko02010,M2422,,ABC transporter,NO,-1.5764163322703608
BHE81_RS15515,gene_0423,K20423,ko02020,M2423,,DNA repair enzyme,NO,2.5722875199768067
BHE81_RS15570,gene_0424,K20424,ko01230,M2424,,metabolic enzyme,NO,-3.753269327480985
BHE81_RS15575,gene_0425,K20425,ko00020,M2425,,catabolic enzyme,NO,-4.486555249702598
BHE81_RS15580,gene_0426,K20426,ko02010,M2426,,ion channel,NO,-1.8123477416124687
BHE81_RS15585,gene_0427,K20427,ko01200,M2427,,biosynthesis protein,NO,-2.4987117315276515
BHE81_RS15595,gene_0428,K20428,ko00020,M2428,,catabolic enzyme,NO,-3.3964583169289027
BHE81_RS15610,gene_0429,K20429,ko01200,M2429,,biosynthesis protein,NO,-3.1651259929706903
BHE81_RS15645,gene_0430,K20430,ko01230,M2430,,catabolic enzyme,NO,-3.7598374340497607
BHE81_RS15650,gene_0431,K20431,ko00020,M2431,,biosynthesis protein,NO,-4.298692235916019
BHE81_RS15655,gene_0432,K20432,ko01230,M2432,,biosynthesis protein,NO,-4.01174407614965
BHE81_RS15660,gene_0433,K20433,ko01200,M2433,,catabolic enzyme,NO,-3.248829721254824
BHE81_RS15665,gene_0434,K20434,ko00020,M2434,,metabolic enzyme,NO,-2.401912650127864
BHE81_RS15760,gene_0435,K20435,ko01230,M2435,,metabolic enzyme,NO,-2.9402430997608
BHE81_RS15830,gene_0436,K20436,ko02010,M2436,,ion channel,NO,-1.3203181231851049
BHE81_RS15835,gene_0437,K20437,ko00920,M2437,,ion channel,NO,-1.5967439662237857
BHE81_RS15845,gene_0438,K20438,ko00020,M2438,,catabolic enzyme,NO,-3.0945858902545686
BHE81_RS15850,gene_0439,K20439,ko00020,M2439,,catabolic enzyme,NO,-3.756870350299649
BHE81_RS15855,gene_0440,K20440,ko00020,M2440,,catabolic enzyme,NO,-2.404030735017485
BHE81_RS15860,gene_0441,K20441,ko00020,M2441,,catabolic enzyme,NO,-1.2868455700321089
BHE81_RS15865,gene_0442,K20442,ko02020,M2442,,DNA repair enzyme,NO,2.2847156097879604
BHE81_RS15945,gene_0443,K20443,ko02010,M2443,,membrane transporter,NO,-1.493175382816893
BHE81_RS15955,gene_0444,K20444,ko00920,M2444,,ABC transporter,NO,-1.4092817318724915
BHE81_RS15975,gene_0445,K20445,ko01230,M2445,,catabolic enzyme,NO,-2.4249162795214905
BHE81_RS16070,gene_0446,K20446,ko01230,M2446,,biosynthesis protein,NO,-2.747989204477764
BHE81_RS16080,gene_0447,K20447,ko01200,M2447,,metabolic enzyme,NO,-3.051790116529967
BHE81_RS16100,gene_0448,K20448,ko02010,M2448,,ion channel,NO,1.3016563593938837
BHE81_RS16145,gene_0449,K20449,ko01200,M2449,,catabolic enzyme,NO,-4.852824930105659
BHE81_RS16150,gene_0450,K20450,ko00020,M2450,,metabolic enzyme,NO,-4.84640474815564
BHE81_RS16330,gene_0451,K20451,ko00920,M2451,,ion channel,NO,1.2398443674446065
BHE81_RS16335,gene_0452,K20452,ko00520,M2452,,polymerization enzyme,NO,1.70026281310301
BHE81_RS16360,gene_0453,K20453,ko02020,M2453,,DNA repair enzyme,NO,2.0411219059417216
BHE81_RS16365,gene_0454,K20454,ko03410,M2454,,DNA repair enzyme,NO,2.918165172063932
BHE81_RS16535,gene_0455,K20455,ko00520,M2455,,polymerization enzyme,NO,1.7296965406498084
BHE81_RS16540,gene_0456,K20456,ko00520,M2456,,biosynthetic enzyme,NO,1.8216061038088869
BHE81_RS16575,gene_0457,K20457,ko03410,M2457,,DNA repair enzyme,NO,2.7881918324686024
BHE81_RS16580,gene_0458,K20458,ko03410,M2458,,oxidative stress protein,NO,2.6132751493595885
BHE81_RS16630,gene_0459,K20459,ko00190,M2459,,oxidative stress protein,NO,2.213226399149661
BHE81_RS16645,gene_0460,K20460,ko01060,M2460,,biosynthetic enzyme,NO,1.0511993411816
BHE81_RS16660,gene_0461,K20461,ko00190,M2461,,oxidative stress protein,NO,2.007261699264069
BHE81_RS16665,gene_0462,K20462,ko03410,M2462,,oxidative stress protein,NO,2.8470706680347817
BHE81_RS16670,gene_0463,K20463,ko01060,M2463,,precursor synthesis,NO,1.3187529921898296
BHE81_RS16700,gene_0464,K20464,ko03410,M2464,,oxidative stress protein,NO,2.047532137251449
BHE81_RS16705,gene_0465,K20465,ko00190,M2465,,DNA repair enzyme,NO,4.479731056035699
BHE81_RS17095,gene_0466,K20466,ko01200,M2466,,metabolic enzyme,NO,-1.2806291789860154
BHE81_RS17115,gene_0467,K20467,ko02020,M2467,,stress response regulator,NO,2.3317115408442857
BHE81_RS17130,gene_0468,K20468,ko00020,M2468,,biosynthesis protein,NO,-6.520099616031177
BHE81_RS17135,gene_0469,K20469,ko01230,M2469,,metabolic enzyme,NO,-4.166339097729213
BHE81_RS17140,gene_0470,K20470,ko00020,M2470,,metabolic enzyme,NO,-2.239570652706268
BHE81_RS17155,gene_0471,K20471,ko01200,M2471,,catabolic enzyme,NO,-1.0830678259248108
BHE81_RS17265,gene_0472,K20472,ko01200,M2472,,metabolic enzyme,NO,-2.063686806958141
BHE81_RS17270,gene_0473,K20473,ko00020,M2473,,metabolic enzyme,NO,-2.539468071391558
BHE81_RS17290,gene_0474,K20474,ko00520,M2474,,polymerization enzyme,NO,1.2255982669105816
BHE81_RS17310,gene_0475,K20475,ko00020,M2475,,catabolic enzyme,NO,-1.6373349596656055
BHE81_RS17330,gene_0476,K20476,ko01230,M2476,,biosynthesis protein,NO,-3.2395646114190733
BHE81_RS17335,gene_0477,K20477,ko00020,M2477,,catabolic enzyme,NO,-2.356061747739999
BHE81_RS17390,gene_0478,K20478,ko02010,M2478,,ion channel,NO,-1.3417009900064547
BHE81_RS17510,gene_0479,K20479,ko02020,M2479,,DNA repair enzyme,NO,2.504847962693824
BHE81_RS17635,gene_0480,K20480,ko00020,M2480,,biosynthesis protein,NO,-2.972825587175485
BHE81_RS17640,gene_0481,K20481,ko00020,M2481,,catabolic enzyme,NO,-2.08866971669698
BHE81_RS17645,gene_0482,K20482,ko00020,M2482,,biosynthesis protein,NO,-3.2956154406979143
BHE81_RS17650,gene_0483,K20483,ko01230,M2483,,metabolic enzyme,NO,-5.386843473420292
BHE81_RS17655,gene_0484,K20484,ko00020,M2484,,biosynthesis protein,NO,-2.7365016786792995
BHE81_RS17660,gene_0485,K20485,ko00020,M2485,,metabolic enzyme,NO,-2.525479956210549
BHE81_RS17690,gene_0486,K20486,ko00920,M2486,,ion channel,NO,-1.5108548613179786
BHE81_RS17695,gene_0487,K20487,ko02010,M2487,,ion channel,NO,-1.4382721648584682
BHE81_RS17785,gene_0488,K20488,ko03410,M2488,,DNA repair enzyme,NO,2.3272014260177345
BHE81_RS17805,gene_0489,K20489,ko02010,M2489,,ion channel,NO,-1.34252407469131
BHE81_RS17835,gene_0490,K20490,ko01230,M2490,,metabolic enzyme,NO,-1.2799094125640178
BHE81_RS17995,gene_0491,K20491,ko00190,M2491,,oxidative stress protein,NO,2.7987778911425
BHE81_RS18090,gene_0492,K20492,ko01230,M2492,,catabolic enzyme,NO,-3.5902777319713355
BHE81_RS18100,gene_0493,K20493,ko01200,M2493,,catabolic enzyme,NO,-1.2849506299577471
BHE81_RS18105,gene_0494,K20494,ko00920,M2494,,membrane transporter,NO,-1.3404592849159065
BHE81_RS18195,gene_0495,K20495,ko01230,M2495,,catabolic enzyme,NO,-2.355063990661361
BHE81_RS18305,gene_0496,K20496,ko00190,M2496,,stress response regulator,NO,2.145517571468461
BHE81_RS18330,gene_0497,K20497,ko01200,M2497,,metabolic enzyme,NO,-1.496493212764351
BHE81_RS18465,gene_0498,K20498,ko00920,M2498,,membrane transporter,NO,-1.8038583857992936
BHE81_RS18470,gene_0499,K20499,ko01200,M2499,,catabolic enzyme,NO,-2.0885017626524283
BHE81_RS18625,gene_0500,K20500,ko03410,M2500,,oxidative stress protein,NO,1.8249393488071215
BHE81_RS18690,gene_0501,K20501,ko00020,M2501,,biosynthesis protein,NO,-1.95629058748482
BHE81_RS18715,gene_0502,K20502,ko00520,M2502,,biosynthetic enzyme,NO,1.1430014929756558
BHE81_RS18835,gene_0503,K20503,ko00920,M2503,,membrane transporter,NO,-1.5447201484873725
BHE81_RS18855,gene_0504,K20504,ko03410,M2504,,stress response regulator,NO,1.0162324194181611
BHE81_RS18860,gene_0505,K20505,ko02020,M2505,,stress response regulator,NO,2.40436615152306
BHE81_RS18945,gene_0506,K20506,ko03410,M2506,,DNA repair enzyme,NO,4.037415978271795
BHE81_RS18950,gene_0507,K20507,ko02020,M2507,,oxidative stress protein,NO,3.676866758983366
BHE81_RS18960,gene_0508,K20508,ko02020,M2508,,oxidative stress protein,NO,2.543543095800985
BHE81_RS18965,gene_0509,K20509,ko00190,M2509,,oxidative stress protein,NO,4.459325827827775
BHE81_RS18980,gene_0510,K20510,ko00190,M2510,,oxidative stress protein,NO,4.65112138801532
BHE81_RS18990,gene_0511,K20511,ko00190,M2511,,stress response regulator,NO,3.763038618827995
BHE81_RS18995,gene_0512,K20512,ko00190,M2512,,DNA repair enzyme,NO,5.145908205204864
BHE81_RS19000,gene_0513,K20513,ko02020,M2513,,DNA repair enzyme,NO,4.507765552368723
BHE81_RS19005,gene_0514,K20514,ko00190,M2514,,oxidative stress protein,NO,3.269792912447796
BHE81_RS19010,gene_0515,K20515,ko03410,M2515,,oxidative stress protein,NO,2.5094003158653666
BHE81_RS19185,gene_0516,K20516,ko03410,M2516,,oxidative stress protein,NO,3.38730963243067
BHE81_RS19190,gene_0517,K20517,ko03410,M2517,,oxidative stress protein,NO,4.021187027044035
BHE81_RS19200,gene_0518,K20518,ko01060,M2518,,precursor synthesis,NO,1.6094493837368318
BHE81_RS19245,gene_0519,K20519,ko01200,M2519,,metabolic enzyme,NO,-1.7941972460911468
BHE81_RS19260,gene_0520,K20520,ko01200,M2520,,metabolic enzyme,NO,-3.063656983706118
BHE81_RS19285,gene_0521,K20521,ko00920,M2521,,ABC transporter,NO,1.3916019960236554
BHE81_RS19305,gene_0522,K20522,ko00020,M2522,,metabolic enzyme,NO,-2.078456482038583
BHE81_RS19395,gene_0523,K20523,ko00190,M2523,,DNA repair enzyme,NO,2.124030442932207
BHE81_RS19475,gene_0524,K20524,ko00020,M2524,,catabolic enzyme,NO,-1.3530248556289617
BHE81_RS19490,gene_0525,K20525,ko01230,M2525,,metabolic enzyme,NO,-2.187546164783494
BHE81_RS19570,gene_0526,K20526,ko00020,M2526,,biosynthesis protein,NO,-2.425618451792694
BHE81_RS19625,gene_0527,K20527,ko00920,M2527,,membrane transporter,NO,1.4482941503660316
BHE81_RS19635,gene_0528,K20528,ko00920,M2528,,ABC transporter,NO,1.405035126964033
BHE81_RS19640,gene_0529,K20529,ko00190,M2529,,oxidative stress protein,NO,1.4873130968623502
BHE81_RS19650,gene_0530,K20530,ko00520,M2530,,precursor synthesis,NO,1.0433749110837018
BHE81_RS19675,gene_0531,K20531,ko01230,M2531,,catabolic enzyme,NO,-2.6544460681824646
BHE81_RS19680,gene_0532,K20532,ko01230,M2532,,metabolic enzyme,NO,-2.699160364068447
BHE81_RS19685,gene_0533,K20533,ko01200,M2533,,metabolic enzyme,NO,-2.534807990203129
BHE81_RS19690,gene_0534,K20534,ko01230,M2534,,metabolic enzyme,NO,-1.778118027245884
BHE81_RS19695,gene_0535,K20535,ko03410,M2535,,oxidative stress protein,NO,1.4589957634863686
BHE81_RS19760,gene_0536,K20536,ko02020,M2536,,DNA repair enzyme,NO,1.2226495136394795
BHE81_RS19775,gene_0537,K20537,ko01230,M2537,,metabolic enzyme,NO,-1.4665046027733082
BHE81_RS19810,gene_0538,K20538,ko03410,M2538,,oxidative stress protein,NO,1.6202019550363111
BHE81_RS19815,gene_0539,K20539,ko01060,M2539,,polymerization enzyme,NO,1.980369257426924
BHE81_RS19855,gene_0540,K20540,ko01200,M2540,,metabolic enzyme,NO,-1.646430922310247
BHE81_RS19925,gene_0541,K20541,ko00190,M2541,,DNA repair enzyme,NO,1.1706726857998215
BHE81_RS28835,gene_0542,K20542,ko00190,M2542,,stress response regulator,NO,1.534987850886119
BHE81_RS19940,gene_0543,K20543,ko03410,M2543,,oxidative stress protein,NO,2.9323018093184525
BHE81_RS19990,gene_0544,K20544,ko00190,M2544,,stress response regulator,NO,1.3445627848201258
BHE81_RS20025,gene_0545,K20545,ko02010,M2545,,membrane transporter,NO,-1.5900074313448271
BHE81_RS20030,gene_0546,K20546,ko00020,M2546,,metabolic enzyme,NO,-1.9043637474989228
BHE81_RS20140,gene_0547,K20547,ko02020,M2547,,DNA repair enzyme,NO,3.2931104458907723
BHE81_RS20175,gene_0548,K20548,ko03410,M2548,,oxidative stress protein,NO,2.0222276604649285
BHE81_RS20180,gene_0549,K20549,ko01060,M2549,,polymerization enzyme,NO,1.245784563441836
BHE81_RS20185,gene_0550,K20550,ko01060,M2550,,biosynthetic enzyme,NO,1.285153494961872
