Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS03795,24.7678140541323,1.9714370593872528,0.6541744232786778,3.0136260135432136,0.0025814580997385,0.0193448876070991,BHE81_RS03795,gene_0120,K20120,ko01060,M2120,,precursor synthesis,NO,1.9714370593872528
BHE81_RS03800,256.63921513817246,3.325849750985478,0.4768113133885961,6.97519051582349,3.054565936453705e-12,1.8410305265568828e-10,BHE81_RS03800,gene_0121,K20121,ko02020,M2121,,stress response regulator,NO,3.325849750985478
BHE81_RS03825,297.8498218164898,-1.92767086495507,0.3763051421301644,-5.122626956525314,3.0130809001587e-07,7.612088813035662e-06,BHE81_RS03825,gene_0122,K20122,ko00920,M2122,,ion channel,NO,-1.92767086495507
BHE81_RS03855,12.590851872589878,-2.7552632683498715,0.6911677449331929,-3.986388671271387,6.708658354386143e-05,0.0009219488468128,BHE81_RS03855,gene_0123,K20123,ko01200,M2123,,metabolic enzyme,NO,-2.7552632683498715
BHE81_RS03860,48.22961571430395,-3.6674243859256217,0.5253051935624041,-6.981511759011281,2.920204591944846e-12,1.7855569816543919e-10,BHE81_RS03860,gene_0124,K20124,ko00020,M2124,,catabolic enzyme,NO,-3.6674243859256217
BHE81_RS03900,81.92834517993002,2.058405578668808,0.3927380772843531,5.241166308349741,1.595648201081707e-07,4.371454389846573e-06,BHE81_RS03900,gene_0125,K20125,ko02020,M2125,,oxidative stress protein,NO,2.058405578668808
BHE81_RS03905,50.40656389152491,1.692289222737183,0.4571446520706252,3.701868139705893,0.0002140178425803,0.0025019448347043,BHE81_RS03905,gene_0126,K20126,ko00520,M2126,,precursor synthesis,NO,1.692289222737183
BHE81_RS03910,73.63907790287487,1.496540612960515,0.396281954370777,3.7764541040904738,0.0001590768555703,0.0019720870248977,BHE81_RS03910,gene_0127,K20127,ko02010,M2127,,ion channel,NO,1.496540612960515
BHE81_RS03915,61.16783198563103,1.798768449710605,0.3923051508120342,4.585125752204186,4.5371327892565015e-06,8.652228711128769e-05,BHE81_RS03915,gene_0128,K20128,ko00190,M2128,,oxidative stress protein,NO,1.798768449710605
BHE81_RS03920,24.16551427482302,1.94507894450144,0.542031414098982,3.5884985517578194,0.0003325878406467,0.00358871636749,BHE81_RS03920,gene_0129,K20129,ko02010,M2129,,ion channel,NO,1.94507894450144
BHE81_RS03925,230.14210922671143,4.407152436073443,0.3709211396180248,11.881642660248309,1.4744111262543944e-32,8.886486488096127e-30,BHE81_RS03925,gene_0130,K20130,ko00190,M2130,,oxidative stress protein,NO,4.407152436073443
BHE81_RS03930,23.815256289061583,1.9212618610599792,0.6172907803985669,3.112409778450726,0.0018556672440496,0.0147997355437536,BHE81_RS03930,gene_0131,K20131,ko02010,M2131,,ABC transporter,NO,1.9212618610599792
BHE81_RS03985,132.58557435436597,-1.8460416707142864,0.4256939962708959,-4.336546173743859,1.447390330908034e-05,0.0002420260062684,BHE81_RS03985,gene_0132,K20132,ko00020,M2132,,biosynthesis protein,NO,-1.8460416707142864
BHE81_RS04035,108.21349255315374,-5.052688765185585,0.4690575720780488,-10.772001276518871,4.66743809122618e-27,1.969192130688325e-24,BHE81_RS04035,gene_0133,K20133,ko00020,M2133,,biosynthesis protein,NO,-5.052688765185585
BHE81_RS04040,20.41401153321542,-3.893416954935661,0.677013746434994,-5.750868391428595,8.878621239907234e-09,3.121575250930718e-07,BHE81_RS04040,gene_0134,K20134,ko01200,M2134,,catabolic enzyme,NO,-3.893416954935661
BHE81_RS04155,29.37187556224884,-2.650248222085257,0.9416717638314428,-2.814407656551169,0.004886721517165,0.032014096398943,BHE81_RS04155,gene_0135,K20135,ko01230,M2135,,metabolic enzyme,NO,-2.650248222085257
BHE81_RS04195,25.1309724983953,3.5264311182209305,0.7476064984728727,4.716961563903379,2.3939289424034547e-06,4.926822540487891e-05,BHE81_RS04195,gene_0136,K20136,ko02020,M2136,,oxidative stress protein,NO,3.5264311182209305
BHE81_RS04320,14.369763370736615,-1.6564923679466892,0.5548552417823488,-2.985449614976289,0.0028316178196779,0.0208492069480299,BHE81_RS04320,gene_0137,K20137,ko02010,M2137,,ABC transporter,NO,-1.6564923679466892
BHE81_RS04580,6.687592755450396,5.520266989566724,1.9933260759863427,2.76937479325111,0.0056163986464945,0.0357399485513732,BHE81_RS04580,gene_0138,K20138,ko03410,M2138,,oxidative stress protein,NO,5.520266989566724
BHE81_RS04585,13.179168399502371,3.0263410473539,0.8991057445002425,3.3659456252679782,0.0007628174353828,0.0071518372441782,BHE81_RS04585,gene_0139,K20139,ko02020,M2139,,stress response regulator,NO,3.0263410473539
BHE81_RS04635,62.79961095610793,-3.734350801628288,0.5170978808890717,-7.22174841484099,5.132336059658844e-13,3.608887639283444e-11,BHE81_RS04635,gene_0140,K20140,ko01200,M2140,,metabolic enzyme,NO,-3.734350801628288
BHE81_RS04900,166.62203657993723,3.3616292911747614,0.5944844706764087,5.654696559777038,1.56121840670014e-08,5.311919724087009e-07,BHE81_RS04900,gene_0141,K20141,ko02020,M2141,,DNA repair enzyme,NO,3.3616292911747614
BHE81_RS04905,126.39914089368084,3.2892824912925587,0.4817600231191524,6.827636859522131,8.632476151479125e-12,4.792160116196109e-10,BHE81_RS04905,gene_0142,K20142,ko02020,M2142,,DNA repair enzyme,NO,3.2892824912925587
BHE81_RS04910,262.7913668050132,1.6651296901827235,0.3935114899761028,4.231463966360534,2.321751934566565e-05,0.0003710405837854,BHE81_RS04910,gene_0143,K20143,ko00520,M2143,,precursor synthesis,NO,1.6651296901827235
BHE81_RS04915,233.4615334400081,1.953212256098592,0.4946257924945873,3.9488685906325145,7.85214394885472e-05,0.0010483606113993,BHE81_RS04915,gene_0144,K20144,ko00190,M2144,,DNA repair enzyme,NO,1.953212256098592
BHE81_RS04920,115.47788331994268,2.340013968387532,0.4470625578715818,5.234198049436513,1.657027085258343e-07,4.481408508144199e-06,BHE81_RS04920,gene_0145,K20145,ko02020,M2145,,stress response regulator,NO,2.340013968387532
BHE81_RS04925,113.92385679297554,1.8925389370168195,0.3577843628947544,5.289607745024695,1.225789565274619e-07,3.4708766281165217e-06,BHE81_RS04925,gene_0146,K20146,ko00920,M2146,,ABC transporter,NO,1.8925389370168195
BHE81_RS04965,24.888979167195043,-2.879452530182897,0.5110581555962158,-5.634295233628825,1.7577567321089608e-08,5.932780522214165e-07,BHE81_RS04965,gene_0147,K20147,ko01200,M2147,,biosynthesis protein,NO,-2.879452530182897
BHE81_RS04980,5.29063717904171,-3.2119808206853406,1.057689758276098,-3.036789186576286,0.0023911262187252,0.0183727399245265,BHE81_RS04980,gene_0148,K20148,ko01200,M2148,,metabolic enzyme,NO,-3.2119808206853406
BHE81_RS05085,30.713188402660283,1.5013140964278875,0.4727294942499571,3.1758418179722527,0.0014940239301285,0.0125814111002246,BHE81_RS05085,gene_0149,K20149,ko01060,M2149,,precursor synthesis,NO,1.5013140964278875
BHE81_RS05140,145.0640720893346,-2.186145390199349,0.3261066510273702,-6.703774312213785,2.0310387493784975e-11,1.020113390908081e-09,BHE81_RS05140,gene_0150,K20150,ko00020,M2150,,biosynthesis protein,NO,-2.186145390199349
BHE81_RS05145,152.03836689763585,-1.7958140149767745,0.4330692033962604,-4.146713737419919,3.3728132143126424e-05,0.0005100322204725,BHE81_RS05145,gene_0151,K20151,ko01200,M2151,,catabolic enzyme,NO,-1.7958140149767745
BHE81_RS05155,164.06349461780775,-1.6343346470965057,0.4681630486252737,-3.490951820942744,0.0004813030381782,0.0048463425252366,BHE81_RS05155,gene_0152,K20152,ko00020,M2152,,biosynthesis protein,NO,-1.6343346470965057
BHE81_RS05215,66.43253920493667,1.487478963945855,0.4005963317562708,3.713161719241256,0.00020468599925,0.0024325921995374,BHE81_RS05215,gene_0153,K20153,ko00190,M2153,,stress response regulator,NO,1.487478963945855
BHE81_RS05275,246.6376639269304,-3.811205506392388,0.3875611107165455,-9.833818205717314,8.050724062331497e-23,1.7876844641566624e-20,BHE81_RS05275,gene_0154,K20154,ko01200,M2154,,biosynthesis protein,NO,-3.811205506392388
BHE81_RS05380,13.611959588725886,-2.9938053703709406,0.6575086865710094,-4.553255997246231,5.282193012671016e-06,9.860872708167704e-05,BHE81_RS05380,gene_0155,K20155,ko01230,M2155,,biosynthesis protein,NO,-2.9938053703709406
BHE81_RS05385,12.5917519020989,-2.254451720709262,0.7093851398028533,-3.1780362939880606,0.0014827618857314,0.0125366180278574,BHE81_RS05385,gene_0156,K20156,ko01230,M2156,,biosynthesis protein,NO,-2.254451720709262
BHE81_RS05395,16.75219336457655,-2.199102540339191,0.5818523897463258,-3.779485276837909,0.0001571528849025,0.0019558348713982,BHE81_RS05395,gene_0157,K20157,ko00020,M2157,,metabolic enzyme,NO,-2.199102540339191
BHE81_RS05400,7.840857410046272,-3.791277102717985,0.942172226462113,-4.02397459427811,5.7224093057283e-05,0.0008074530053801,BHE81_RS05400,gene_0158,K20158,ko01230,M2158,,catabolic enzyme,NO,-3.791277102717985
BHE81_RS05405,41.74513586467335,-2.248895237765994,0.5822439287722236,-3.8624623231507695,0.0001122498812762,0.0014616736083475,BHE81_RS05405,gene_0159,K20159,ko01230,M2159,,catabolic enzyme,NO,-2.248895237765994
BHE81_RS05595,22.701480842990293,-2.1912369717434625,0.6906618433242717,-3.172662559721948,0.0015104797167299,0.012669411381478,BHE81_RS05595,gene_0160,K20160,ko01230,M2160,,metabolic enzyme,NO,-2.1912369717434625
BHE81_RS05600,15.049363895659056,1.6974087190641367,0.6001197600245252,2.828449973043328,0.0046774010921799,0.0309795215194773,BHE81_RS05600,gene_0161,K20161,ko01060,M2161,,precursor synthesis,NO,1.6974087190641367
BHE81_RS05690,61.993619369628966,-1.269047013779922,0.3430047681864346,-3.699794088839466,0.000215774467606,0.002514785853121,BHE81_RS05690,gene_0162,K20162,ko02010,M2162,,ABC transporter,NO,-1.269047013779922
BHE81_RS05705,25.07471025685992,-2.233824173467284,0.5091113566350354,-4.387692681286299,1.1455949100581312e-05,0.0001948897147393,BHE81_RS05705,gene_0163,K20163,ko00020,M2163,,metabolic enzyme,NO,-2.233824173467284
BHE81_RS05710,20.556788522523185,-2.2715152166170656,0.6731828078402845,-3.3742917825019565,0.0007400587881607,0.0069850291437368,BHE81_RS05710,gene_0164,K20164,ko01230,M2164,,catabolic enzyme,NO,-2.2715152166170656
BHE81_RS05835,14.989975581386934,6.684734336431295,1.9319386929403275,3.460117218449317,0.0005399402904026,0.0053349135484982,BHE81_RS05835,gene_0165,K20165,ko03410,M2165,,oxidative stress protein,NO,6.684734336431295
BHE81_RS05840,13.668295714441529,4.793476584705702,1.1759002808840913,4.07643119287442,4.573217980127911e-05,0.00066303802949,BHE81_RS05840,gene_0166,K20166,ko00190,M2166,,DNA repair enzyme,NO,4.793476584705702
BHE81_RS05845,24.63922535365475,2.6337861266959397,0.714571686527887,3.685824916312512,0.0002279630372518,0.0025948784735983,BHE81_RS05845,gene_0167,K20167,ko00190,M2167,,oxidative stress protein,NO,2.63378612669594
BHE81_RS05860,19.985306590852257,2.713130789082932,0.6497139763877263,4.175884908875396,2.9682987647036317e-05,0.000458727197373,BHE81_RS05860,gene_0168,K20168,ko00190,M2168,,oxidative stress protein,NO,2.713130789082932
BHE81_RS05865,11.568252728763891,4.531899370561901,1.1572451473564025,3.9161100661467634,8.998917656501895e-05,0.0011864510497744,BHE81_RS05865,gene_0169,K20169,ko03410,M2169,,DNA repair enzyme,NO,4.531899370561901
BHE81_RS05975,9.23149303372905,2.2928113100283083,0.8553471647521834,2.680562237781657,0.0073498595441786,0.0442219554113786,BHE81_RS05975,gene_0170,K20170,ko03410,M2170,,stress response regulator,NO,2.2928113100283083
BHE81_RS05990,77.72880876731854,1.0554466008521073,0.3644007808178054,2.896389515092213,0.0037748353760377,0.0261948412488249,BHE81_RS05990,gene_0171,K20171,ko02010,M2171,,membrane transporter,NO,1.0554466008521073
BHE81_RS06175,6.642981750578445,-2.235056415741457,0.8255253007764396,-2.707435391306962,0.0067805267280086,0.0416140276461587,BHE81_RS06175,gene_0172,K20172,ko01230,M2172,,catabolic enzyme,NO,-2.235056415741457
BHE81_RS06380,13.48287706558034,-1.8917428602428727,0.6049218622346594,-3.1272515978419606,0.0017644885592123,0.0141259530006016,BHE81_RS06380,gene_0173,K20173,ko00920,M2173,,ion channel,NO,-1.8917428602428727
BHE81_RS06385,23.743438609237284,-2.119238204619881,0.5643565052478757,-3.755140916979548,0.0001732439777483,0.0021185980931025,BHE81_RS06385,gene_0174,K20174,ko01200,M2174,,biosynthesis protein,NO,-2.119238204619881
BHE81_RS06665,130.7172699788639,1.541487955764541,0.4213381870561338,3.658552685515715,0.000253643602789,0.0028536596271115,BHE81_RS06665,gene_0175,K20175,ko02010,M2175,,membrane transporter,NO,1.541487955764541
BHE81_RS06715,7.602703111927387,3.887225525608753,1.2859353920675962,3.022877781875699,0.0025038334292869,0.0189653020433781,BHE81_RS06715,gene_0176,K20176,ko00190,M2176,,stress response regulator,NO,3.887225525608753
BHE81_RS06735,26.132944284282228,1.6714819108703407,0.5935924042869367,2.8158748306057557,0.0048644614897919,0.0319178274112478,BHE81_RS06735,gene_0177,K20177,ko00190,M2177,,stress response regulator,NO,1.6714819108703407
BHE81_RS06760,351.7490079584448,-2.852367121367488,0.4113459015520679,-6.934230074020652,4.084394630489349e-12,2.3933417980603555e-10,BHE81_RS06760,gene_0178,K20178,ko01200,M2178,,metabolic enzyme,NO,-2.852367121367488
BHE81_RS06905,178.8782213355738,1.586389193992218,0.5816462984926505,2.7274121714577766,0.0063833248404935,0.0396631038321683,BHE81_RS06905,gene_0179,K20179,ko02010,M2179,,ion channel,NO,1.586389193992218
BHE81_RS06945,33.10490475802965,3.178933836050611,0.6320560415868174,5.029512617377556,4.917281445764352e-07,1.1720909841627005e-05,BHE81_RS06945,gene_0180,K20180,ko02020,M2180,,oxidative stress protein,NO,3.178933836050611
BHE81_RS06950,14.88180475892568,4.716730325922702,1.1569967183664909,4.076701559345849,4.5679060220946286e-05,0.00066303802949,BHE81_RS06950,gene_0181,K20181,ko03410,M2181,,oxidative stress protein,NO,4.716730325922702
BHE81_RS06955,14.71487278784071,3.907977057604105,0.888982220950922,4.396012614767301,1.1025752906039326e-05,0.0001883305729173,BHE81_RS06955,gene_0182,K20182,ko00190,M2182,,stress response regulator,NO,3.907977057604105
BHE81_RS06960,31.936790217068776,6.020889189930385,1.0926029415716934,5.510592147289502,3.576285253344356e-08,1.1738707104658524e-06,BHE81_RS06960,gene_0183,K20183,ko03410,M2183,,oxidative stress protein,NO,6.020889189930385
BHE81_RS06965,19.19334512949245,7.034636772868892,1.9065686118524896,3.689684561644907,0.000224532285057,0.0025757395979753,BHE81_RS06965,gene_0184,K20184,ko03410,M2184,,oxidative stress protein,NO,7.034636772868892
BHE81_RS06970,39.841636757420936,3.9086349287085977,0.6052664501793166,6.4577095385852346,1.0629951390317625e-10,4.983084990638896e-09,BHE81_RS06970,gene_0185,K20185,ko00190,M2185,,DNA repair enzyme,NO,3.9086349287085977
BHE81_RS06975,33.789223315963014,1.3983880488652607,0.5165509425298851,2.7071638704528294,0.0067860751411607,0.0416140276461587,BHE81_RS06975,gene_0186,K20186,ko00920,M2186,,ion channel,NO,1.3983880488652607
BHE81_RS06985,11.57381621065453,4.289529723340262,1.1968022213650773,3.5841592259476323,0.0003381657541146,0.0036395951954329,BHE81_RS06985,gene_0187,K20187,ko03410,M2187,,stress response regulator,NO,4.289529723340262
BHE81_RS07000,17.872920405468093,-8.36713777416077,2.0437365726742853,-4.0940392641758825,4.239224745011165e-05,0.0006247157610396,BHE81_RS07000,gene_0188,K20188,ko00020,M2188,,catabolic enzyme,NO,-8.36713777416077
BHE81_RS07005,68.31502050875754,-7.534311762386423,0.971211188919216,-7.75764514283527,8.652083426766832e-15,8.111808883895392e-13,BHE81_RS07005,gene_0189,K20189,ko01230,M2189,,metabolic enzyme,NO,-7.534311762386423
BHE81_RS07010,198.66260703988695,-7.397890206401103,0.7178391711117601,-10.305776703357594,6.635348780795247e-25,1.7496585316359468e-22,BHE81_RS07010,gene_0190,K20190,ko01200,M2190,,metabolic enzyme,NO,-7.397890206401103
BHE81_RS07160,20.620531570509744,7.141681017980544,1.905378134265383,3.748169924671679,0.0001781295615369,0.0021595650003577,BHE81_RS07160,gene_0191,K20191,ko02020,M2191,,oxidative stress protein,NO,7.141681017980544
BHE81_RS07165,16.33237536174821,6.797756315681043,1.912449664115479,3.554475939017748,0.0003787331638929,0.0039946880461608,BHE81_RS07165,gene_0192,K20192,ko03410,M2192,,oxidative stress protein,NO,6.797756315681043
BHE81_RS07170,15.950204676567967,6.773203605683686,1.9153215713348672,3.5363271144924027,0.0004057319662142,0.0042266250998957,BHE81_RS07170,gene_0193,K20193,ko00190,M2193,,oxidative stress protein,NO,6.773203605683686
BHE81_RS07175,10.11772648012897,6.119396602426919,1.9490056328278744,3.139753164052221,0.0016909024185727,0.0137720411273329,BHE81_RS07175,gene_0194,K20194,ko00190,M2194,,oxidative stress protein,NO,6.119396602426919
BHE81_RS28645,43.33509694807506,5.379743130744387,0.84430434676282,6.371805559655199,1.8681564218903092e-10,8.296580993637069e-09,BHE81_RS28645,gene_0195,K20195,ko03410,M2195,,stress response regulator,NO,5.379743130744387
BHE81_RS07190,28.620714189697956,7.605954686459964,1.8954571537612768,4.012728365485329,6.002096686066017e-05,0.0008357374890598,BHE81_RS07190,gene_0196,K20196,ko00190,M2196,,oxidative stress protein,NO,7.605954686459964
BHE81_RS07195,23.974589376301395,4.638689210607786,0.8530228535450997,5.43794247871524,5.389936833292125e-08,1.6473403136906418e-06,BHE81_RS07195,gene_0197,K20197,ko03410,M2197,,stress response regulator,NO,4.638689210607786
BHE81_RS07215,31.072263878754757,1.358478971434141,0.49465853411445,2.7462964403639045,0.0060272275934028,0.0376782855814626,BHE81_RS07215,gene_0198,K20198,ko02010,M2198,,ABC transporter,NO,1.358478971434141
BHE81_RS07220,164.1668800070736,3.662415249440246,0.4773866585028302,7.671800592262535,1.69598475502056e-14,1.5224169534961158e-12,BHE81_RS07220,gene_0199,K20199,ko00190,M2199,,DNA repair enzyme,NO,3.662415249440246
BHE81_RS07230,16.973277270259654,-3.2906902474036848,0.6340856667428026,-5.189661933705958,2.1067622120911465e-07,5.486685044946016e-06,BHE81_RS07230,gene_0200,K20200,ko01200,M2200,,catabolic enzyme,NO,-3.2906902474036848
BHE81_RS07235,24.729633576432008,-1.872936833225047,0.6388885997649564,-2.931554630829365,0.003372700400489,0.0238348793796703,BHE81_RS07235,gene_0201,K20201,ko02010,M2201,,ABC transporter,NO,-1.872936833225047
BHE81_RS07280,26.66229811675437,1.3656913630254623,0.4565653850697068,2.9912284366826305,0.0027785755201815,0.0205663335432382,BHE81_RS07280,gene_0202,K20202,ko00920,M2202,,membrane transporter,NO,1.3656913630254623
BHE81_RS07360,9.359630948318538,3.5106127948975603,1.0393365876256553,3.3777438769066026,0.0007308311602612,0.0069134005944892,BHE81_RS07360,gene_0203,K20203,ko03410,M2203,,oxidative stress protein,NO,3.5106127948975603
BHE81_RS07450,17.342618631644708,3.376838918184825,0.7590786069993014,4.448602406980932,8.64308384289361e-06,0.0001519382113882,BHE81_RS07450,gene_0204,K20204,ko03410,M2204,,stress response regulator,NO,3.376838918184825
BHE81_RS07470,24.84118205463092,1.7214257211499555,0.6174612025408979,2.7879091254092776,0.0053049422477842,0.0343706502279756,BHE81_RS07470,gene_0205,K20205,ko00920,M2205,,ABC transporter,NO,1.7214257211499555
BHE81_RS07585,21.793290179908155,2.593190187692233,0.5751744109048851,4.508528436813684,6.527882063712536e-06,0.0001192256901593,BHE81_RS07585,gene_0206,K20206,ko02020,M2206,,stress response regulator,NO,2.593190187692233
BHE81_RS07590,21.911179363692654,2.9516437656939933,0.7733017845499741,3.816936446631522,0.0001351189563412,0.0017067870562987,BHE81_RS07590,gene_0207,K20207,ko02020,M2207,,DNA repair enzyme,NO,2.9516437656939933
BHE81_RS07605,4.246711633126298,-4.582530797287888,1.623318145239965,-2.822940660600132,0.0047585378078606,0.0314107825576489,BHE81_RS07605,gene_0208,K20208,ko00020,M2208,,biosynthesis protein,NO,-4.582530797287888
BHE81_RS07665,52.62634037706543,1.2192528578581825,0.3697748782649772,3.2972841843097767,0.0009762466849698,0.0088385939139224,BHE81_RS07665,gene_0209,K20209,ko00190,M2209,,stress response regulator,NO,1.2192528578581825
BHE81_RS07680,146.5756800591785,-3.043884676001792,0.3956949485994604,-7.692503244672308,1.442838210135742e-14,1.323333567078847e-12,BHE81_RS07680,gene_0210,K20210,ko01230,M2210,,metabolic enzyme,NO,-3.043884676001792
BHE81_RS28125,26.63734295027429,4.476296766016222,0.8451193671573392,5.296644403112882,1.1795006939071752e-07,3.362373937563765e-06,BHE81_RS28125,gene_0211,K20211,ko03410,M2211,,DNA repair enzyme,NO,4.476296766016222
BHE81_RS07830,53.72437585615268,1.59519596476875,0.4328208268342156,3.6855804200470272,0.0002281820132033,0.0025948784735983,BHE81_RS07830,gene_0212,K20212,ko02020,M2212,,stress response regulator,NO,1.59519596476875
BHE81_RS07855,84.01992633195836,3.044323928522965,0.4005992276775755,7.59942535628952,2.974485899922553e-14,2.5610930636271944e-12,BHE81_RS07855,gene_0213,K20213,ko02020,M2213,,stress response regulator,NO,3.044323928522965
BHE81_RS07990,10.112315572842771,3.388555137751088,1.0280594114916,3.2960693709662854,0.00098047801378,0.008857894518497,BHE81_RS07990,gene_0214,K20214,ko03410,M2214,,DNA repair enzyme,NO,3.388555137751088
BHE81_RS08205,4.156993614725114,-3.4207613101653065,1.2076227455738275,-2.8326406758261737,0.0046165247828921,0.0306726268646018,BHE81_RS08205,gene_0215,K20215,ko01200,M2215,,metabolic enzyme,NO,-3.4207613101653065
BHE81_RS08215,21.16981018593853,-6.706113603080806,1.1571721581787064,-5.795260070580746,6.8215387353384975e-09,2.4389891461350097e-07,BHE81_RS08215,gene_0216,K20216,ko01200,M2216,,catabolic enzyme,NO,-6.706113603080806
BHE81_RS08275,5.901028157378437,3.529031680772789,1.3085477662204354,2.696907038377302,0.0069986805219661,0.0426081286034272,BHE81_RS08275,gene_0217,K20217,ko03410,M2217,,DNA repair enzyme,NO,3.529031680772789
BHE81_RS08285,13.407341574461796,3.797980208449157,0.9559186717309832,3.9731206438009545,7.093709654991856e-05,0.0009685553732818,BHE81_RS08285,gene_0218,K20218,ko03410,M2218,,oxidative stress protein,NO,3.797980208449157
BHE81_RS08290,20.35119124316426,2.7708591554148057,0.7589909783741087,3.6507142171181934,0.0002615120928598,0.0029343604249357,BHE81_RS08290,gene_0219,K20219,ko03410,M2219,,DNA repair enzyme,NO,2.7708591554148057
BHE81_RS08305,14.951846078834787,3.335770151455445,0.7991138222276049,4.1743366948111,2.988555000761209e-05,0.0004588337838514,BHE81_RS08305,gene_0220,K20220,ko02020,M2220,,DNA repair enzyme,NO,3.335770151455445
BHE81_RS08355,14.989569756468166,3.9399545087978938,0.9438892487278908,4.174170342662442,2.990739287962824e-05,0.0004588337838514,BHE81_RS08355,gene_0221,K20221,ko02020,M2221,,oxidative stress protein,NO,3.9399545087978938
BHE81_RS08360,16.506771304290318,2.419553302968737,0.673516705072904,3.5924176560800154,0.0003276241974977,0.0035442217672899,BHE81_RS08360,gene_0222,K20222,ko00190,M2222,,stress response regulator,NO,2.419553302968737
BHE81_RS08410,6079.694123528378,-1.105621059315038,0.297986426502749,-3.710306782395803,0.0002070082396593,0.0024532802334906,BHE81_RS08410,gene_0223,K20223,ko00920,M2223,,ion channel,NO,-1.105621059315038
BHE81_RS08425,44.72255489023717,2.2471068444343207,0.4203099853165799,5.346308493579535,8.976616187584518e-08,2.648415643036299e-06,BHE81_RS08425,gene_0224,K20224,ko02020,M2224,,DNA repair enzyme,NO,2.2471068444343207
BHE81_RS08430,46.19705118868757,2.0111060826561107,0.43336908160213,4.640631203364153,3.4734655246331204e-06,6.816070255082388e-05,BHE81_RS08430,gene_0225,K20225,ko00190,M2225,,oxidative stress protein,NO,2.0111060826561107
BHE81_RS08440,50.10323376955183,2.414467981021062,0.4127506612559511,5.8497010608635325,4.924572748016993e-09,1.822523896831903e-07,BHE81_RS08440,gene_0226,K20226,ko02020,M2226,,stress response regulator,NO,2.414467981021062
BHE81_RS08490,19.88010954132871,2.573684137694079,0.6453524328059869,3.988028876723564,6.662455555034465e-05,0.000918591502833,BHE81_RS08490,gene_0227,K20227,ko00190,M2227,,DNA repair enzyme,NO,2.573684137694079
BHE81_RS08495,11.697147052945402,3.3115105388499337,0.941080384948796,3.518839189311243,0.0004334393503468,0.0044493445720516,BHE81_RS08495,gene_0228,K20228,ko00190,M2228,,stress response regulator,NO,3.3115105388499337
BHE81_RS08530,28.426938907006388,2.098625997027208,0.6379805271447418,3.2894828411449017,0.0010037167628124,0.0090484637228755,BHE81_RS08530,gene_0229,K20229,ko03410,M2229,,oxidative stress protein,NO,2.098625997027208
BHE81_RS08670,23.4619356200332,2.295128165578848,0.6356149613918376,3.610878133757412,0.000305162034743,0.0033703628915734,BHE81_RS08670,gene_0230,K20230,ko00190,M2230,,stress response regulator,NO,2.295128165578848
BHE81_RS08690,157.14646875187404,-1.6516918674585528,0.2621272696843498,-6.301106593936215,2.9552805719641344e-10,1.2987842430329875e-08,BHE81_RS08690,gene_0231,K20231,ko00020,M2231,,metabolic enzyme,NO,-1.6516918674585528
BHE81_RS08780,85.65639173615364,1.8890990160571155,0.4149859357004999,4.552200095331664,5.308780722886924e-06,9.866848400819352e-05,BHE81_RS08780,gene_0232,K20232,ko02020,M2232,,stress response regulator,NO,1.8890990160571155
BHE81_RS08790,29.0645850136754,1.757259075138596,0.5669877047955769,3.099289561794224,0.0019398532873321,0.0153550488166126,BHE81_RS08790,gene_0233,K20233,ko01060,M2233,,polymerization enzyme,NO,1.757259075138596
BHE81_RS08795,29.52509045956836,1.3745534214224695,0.5200284267194343,2.643227467570861,0.0082119845587985,0.0483887749351549,BHE81_RS08795,gene_0234,K20234,ko00920,M2234,,ABC transporter,NO,1.3745534214224695
BHE81_RS08825,5.449268379413069,-4.88799832423817,1.4137023723406152,-3.4575865612684025,0.000545037114798,0.0053726906246098,BHE81_RS08825,gene_0235,K20235,ko00020,M2235,,biosynthesis protein,NO,-4.88799832423817
BHE81_RS08830,216.1297554157707,-8.888523589004604,0.850079141566637,-10.45611303039817,1.3737620819415425e-25,4.1399301597938333e-23,BHE81_RS08830,gene_0236,K20236,ko01200,M2236,,catabolic enzyme,NO,-8.888523589004604
BHE81_RS08835,197.57631811133965,-7.761838045586218,0.6889675518244155,-11.265897827891228,1.933708511034667e-29,1.0197895260069072e-26,BHE81_RS08835,gene_0237,K20237,ko01230,M2237,,metabolic enzyme,NO,-7.761838045586218
BHE81_RS08840,488.993361080756,-7.71620431715136,0.6029974912683035,-12.796411973326167,1.7170302173584157e-37,1.811037621758789e-34,BHE81_RS08840,gene_0238,K20238,ko01200,M2238,,biosynthesis protein,NO,-7.71620431715136
BHE81_RS08845,1279.7410716305048,-8.090212998730815,0.4419067290854691,-18.307512572785665,7.208847931100929e-75,3.0414129421314813e-71,BHE81_RS08845,gene_0239,K20239,ko01200,M2239,,biosynthesis protein,NO,-8.090212998730815
BHE81_RS08850,281.62093926653966,-7.632160432194348,0.5661274101935034,-13.481347652087116,2.0139433628545287e-41,4.248413523941628e-38,BHE81_RS08850,gene_0240,K20240,ko00020,M2240,,biosynthesis protein,NO,-7.632160432194348
