gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS11410,gene_287,K99992,"ko02010,ko01200",M2287,,Metabolic protein,NO
BHE81_RS11415,gene_288,K99992,"ko02010,ko01200",M2288,,Metabolic protein,NO
BHE81_RS11515,gene_289,K99992,"ko02010,ko01200",M2289,,Metabolic protein,NO
BHE81_RS11520,gene_290,K99992,"ko02010,ko01200",M2290,,Metabolic protein,NO
BHE81_RS11525,gene_291,K99992,"ko02010,ko01200",M2291,,Metabolic protein,NO
BHE81_RS11540,gene_292,K99992,"ko02010,ko01200",M2292,,Metabolic protein,NO
BHE81_RS28215,gene_293,K99991,"ko02020,ko03410,ko00190",M2293,,Stress response protein,NO
BHE81_RS11665,gene_294,K99992,"ko02010,ko01200",M2294,,Metabolic protein,NO
BHE81_RS11710,gene_295,K99991,"ko02020,ko03410,ko00190",M2295,,Stress response protein,NO
BHE81_RS11730,gene_296,K99991,"ko02020,ko03410,ko00190",M2296,,Stress response protein,NO
BHE81_RS11800,gene_297,K99992,"ko02010,ko01200",M2297,,Metabolic protein,NO
BHE81_RS11815,gene_298,K99992,"ko02010,ko01200",M2298,,Metabolic protein,NO
BHE81_RS11820,gene_299,K99991,"ko02020,ko03410,ko00190",M2299,,Stress response protein,NO
BHE81_RS11825,gene_300,K99991,"ko02020,ko03410,ko00190",M2300,,Stress response protein,NO
BHE81_RS11850,gene_301,K99992,"ko02010,ko01200",M2301,,Metabolic protein,NO
BHE81_RS11895,gene_302,K99991,"ko02020,ko03410,ko00190",M2302,,Stress response protein,NO
BHE81_RS11900,gene_303,K99991,"ko02020,ko03410,ko00190",M2303,,Stress response protein,NO
BHE81_RS11925,gene_304,K99991,"ko02020,ko03410,ko00190",M2304,,Stress response protein,NO
BHE81_RS11970,gene_305,K99992,"ko02010,ko01200",M2305,,Metabolic protein,NO
BHE81_RS11975,gene_306,K99991,"ko02020,ko03410,ko00190",M2306,,Stress response protein,NO
BHE81_RS12090,gene_307,K99991,"ko02020,ko03410,ko00190",M2307,,Stress response protein,NO
BHE81_RS12095,gene_308,K99991,"ko02020,ko03410,ko00190",M2308,,Stress response protein,NO
BHE81_RS12100,gene_309,K99991,"ko02020,ko03410,ko00190",M2309,,Stress response protein,NO
BHE81_RS12110,gene_310,K99992,"ko02010,ko01200",M2310,,Metabolic protein,NO
BHE81_RS12210,gene_311,K99992,"ko02010,ko01200",M2311,,Metabolic protein,NO
BHE81_RS12215,gene_312,K99992,"ko02010,ko01200",M2312,,Metabolic protein,NO
BHE81_RS12220,gene_313,K99992,"ko02010,ko01200",M2313,,Metabolic protein,NO
BHE81_RS12225,gene_314,K99992,"ko02010,ko01200",M2314,,Metabolic protein,NO
BHE81_RS12530,gene_315,K99992,"ko02010,ko01200",M2315,,Metabolic protein,NO
BHE81_RS12535,gene_316,K99991,"ko02020,ko03410,ko00190",M2316,,Stress response protein,NO
BHE81_RS12555,gene_317,K99991,"ko02020,ko03410,ko00190",M2317,,Stress response protein,NO
BHE81_RS12560,gene_318,K99991,"ko02020,ko03410,ko00190",M2318,,Stress response protein,NO
BHE81_RS12565,gene_319,K99991,"ko02020,ko03410,ko00190",M2319,,Stress response protein,NO
BHE81_RS12570,rpoE,K02693,ko02020,M1320,1.11.1.15,RNA polymerase sigma factor,YES
BHE81_RS12575,gene_321,K99991,"ko02020,ko03410,ko00190",M2321,,Stress response protein,NO
BHE81_RS12580,gene_322,K99991,"ko02020,ko03410,ko00190",M2322,,Stress response protein,NO
BHE81_RS12590,gene_323,K99991,"ko02020,ko03410,ko00190",M2323,,Stress response protein,NO
BHE81_RS12750,gene_324,K99991,"ko02020,ko03410,ko00190",M2324,,Stress response protein,NO
BHE81_RS12755,gene_325,K99991,"ko02020,ko03410,ko00190",M2325,,Stress response protein,NO
BHE81_RS12760,gene_326,K99991,"ko02020,ko03410,ko00190",M2326,,Stress response protein,NO
BHE81_RS12785,gene_327,K99992,"ko02010,ko01200",M2327,,Metabolic protein,NO
BHE81_RS12890,gene_328,K99992,"ko02010,ko01200",M2328,,Metabolic protein,NO
BHE81_RS12895,gene_329,K99992,"ko02010,ko01200",M2329,,Metabolic protein,NO
BHE81_RS12960,gene_330,K99991,"ko02020,ko03410,ko00190",M2330,,Stress response protein,NO
BHE81_RS12970,gene_331,K99991,"ko02020,ko03410,ko00190",M2331,,Stress response protein,NO
BHE81_RS13170,gene_332,K99991,"ko02020,ko03410,ko00190",M2332,,Stress response protein,NO
BHE81_RS13200,gene_333,K99991,"ko02020,ko03410,ko00190",M2333,,Stress response protein,NO
BHE81_RS13225,gene_334,K99991,"ko02020,ko03410,ko00190",M2334,,Stress response protein,NO
BHE81_RS13230,gene_335,K99991,"ko02020,ko03410,ko00190",M2335,,Stress response protein,NO
BHE81_RS13240,gene_336,K99991,"ko02020,ko03410,ko00190",M2336,,Stress response protein,NO
BHE81_RS13255,gene_337,K99991,"ko02020,ko03410,ko00190",M2337,,Stress response protein,NO
BHE81_RS13260,gene_338,K99991,"ko02020,ko03410,ko00190",M2338,,Stress response protein,NO
BHE81_RS13265,gene_339,K99991,"ko02020,ko03410,ko00190",M2339,,Stress response protein,NO
BHE81_RS13370,gene_340,K99991,"ko02020,ko03410,ko00190",M2340,,Stress response protein,NO
BHE81_RS13405,gene_341,K99992,"ko02010,ko01200",M2341,,Metabolic protein,NO
BHE81_RS13410,gene_342,K99992,"ko02010,ko01200",M2342,,Metabolic protein,NO
BHE81_RS13420,gene_343,K99992,"ko02010,ko01200",M2343,,Metabolic protein,NO
BHE81_RS13435,gene_344,K99992,"ko02010,ko01200",M2344,,Metabolic protein,NO
BHE81_RS13440,gene_345,K99992,"ko02010,ko01200",M2345,,Metabolic protein,NO
BHE81_RS13560,gene_346,K99992,"ko02010,ko01200",M2346,,Metabolic protein,NO
BHE81_RS13565,gene_347,K99992,"ko02010,ko01200",M2347,,Metabolic protein,NO
BHE81_RS13625,gene_348,K99991,"ko02020,ko03410,ko00190",M2348,,Stress response protein,NO
BHE81_RS13630,gene_349,K99991,"ko02020,ko03410,ko00190",M2349,,Stress response protein,NO
BHE81_RS13635,gene_350,K99991,"ko02020,ko03410,ko00190",M2350,,Stress response protein,NO
BHE81_RS13640,gene_351,K99991,"ko02020,ko03410,ko00190",M2351,,Stress response protein,NO
BHE81_RS13660,gene_352,K99991,"ko02020,ko03410,ko00190",M2352,,Stress response protein,NO
BHE81_RS13665,gene_353,K99991,"ko02020,ko03410,ko00190",M2353,,Stress response protein,NO
BHE81_RS13670,gene_354,K99991,"ko02020,ko03410,ko00190",M2354,,Stress response protein,NO
BHE81_RS13675,gene_355,K99991,"ko02020,ko03410,ko00190",M2355,,Stress response protein,NO
BHE81_RS13680,gene_356,K99991,"ko02020,ko03410,ko00190",M2356,,Stress response protein,NO
BHE81_RS13685,gene_357,K99991,"ko02020,ko03410,ko00190",M2357,,Stress response protein,NO
BHE81_RS13690,gene_358,K99991,"ko02020,ko03410,ko00190",M2358,,Stress response protein,NO
BHE81_RS13850,gene_359,K99992,"ko02010,ko01200",M2359,,Metabolic protein,NO
BHE81_RS13855,gene_360,K99991,"ko02020,ko03410,ko00190",M2360,,Stress response protein,NO
BHE81_RS13885,gene_361,K99992,"ko02010,ko01200",M2361,,Metabolic protein,NO
BHE81_RS13945,gene_362,K99992,"ko02010,ko01200",M2362,,Metabolic protein,NO
BHE81_RS13950,gene_363,K99992,"ko02010,ko01200",M2363,,Metabolic protein,NO
BHE81_RS13955,gene_364,K99992,"ko02010,ko01200",M2364,,Metabolic protein,NO
BHE81_RS13990,gene_365,K99991,"ko02020,ko03410,ko00190",M2365,,Stress response protein,NO
BHE81_RS14000,gene_366,K99991,"ko02020,ko03410,ko00190",M2366,,Stress response protein,NO
BHE81_RS14005,gene_367,K99991,"ko02020,ko03410,ko00190",M2367,,Stress response protein,NO
BHE81_RS14010,gene_368,K99992,"ko02010,ko01200",M2368,,Metabolic protein,NO
BHE81_RS14015,gene_369,K99992,"ko02010,ko01200",M2369,,Metabolic protein,NO
BHE81_RS14065,gene_370,K99991,"ko02020,ko03410,ko00190",M2370,,Stress response protein,NO
BHE81_RS14100,gene_371,K99992,"ko02010,ko01200",M2371,,Metabolic protein,NO
BHE81_RS14105,gene_372,K99992,"ko02010,ko01200",M2372,,Metabolic protein,NO
BHE81_RS14115,gene_373,K99992,"ko02010,ko01200",M2373,,Metabolic protein,NO
BHE81_RS14125,gene_374,K99992,"ko02010,ko01200",M2374,,Metabolic protein,NO
BHE81_RS14130,gene_375,K99992,"ko02010,ko01200",M2375,,Metabolic protein,NO
BHE81_RS14135,gene_376,K99992,"ko02010,ko01200",M2376,,Metabolic protein,NO
BHE81_RS14140,gene_377,K99992,"ko02010,ko01200",M2377,,Metabolic protein,NO
BHE81_RS14145,gene_378,K99992,"ko02010,ko01200",M2378,,Metabolic protein,NO
BHE81_RS28770,gene_379,K99992,"ko02010,ko01200",M2379,,Metabolic protein,NO
BHE81_RS28775,gene_380,K99992,"ko02010,ko01200",M2380,,Metabolic protein,NO
BHE81_RS14155,gene_381,K99992,"ko02010,ko01200",M2381,,Metabolic protein,NO
BHE81_RS28780,gene_382,K99992,"ko02010,ko01200",M2382,,Metabolic protein,NO
BHE81_RS28785,gene_383,K99992,"ko02010,ko01200",M2383,,Metabolic protein,NO
BHE81_RS14165,gene_384,K99992,"ko02010,ko01200",M2384,,Metabolic protein,NO
BHE81_RS14170,gene_385,K99992,"ko02010,ko01200",M2385,,Metabolic protein,NO
BHE81_RS14175,gene_386,K99992,"ko02010,ko01200",M2386,,Metabolic protein,NO
BHE81_RS14180,gene_387,K99992,"ko02010,ko01200",M2387,,Metabolic protein,NO
BHE81_RS14185,gene_388,K99992,"ko02010,ko01200",M2388,,Metabolic protein,NO
BHE81_RS14300,gene_389,K99992,"ko02010,ko01200",M2389,,Metabolic protein,NO
BHE81_RS14370,gene_390,K99991,"ko02020,ko03410,ko00190",M2390,,Stress response protein,NO
BHE81_RS14425,gene_391,K99992,"ko02010,ko01200",M2391,,Metabolic protein,NO
BHE81_RS14430,gene_392,K99992,"ko02010,ko01200",M2392,,Metabolic protein,NO
BHE81_RS14535,gene_393,K99991,"ko02020,ko03410,ko00190",M2393,,Stress response protein,NO
BHE81_RS14580,gene_394,K99992,"ko02010,ko01200",M2394,,Metabolic protein,NO
BHE81_RS14630,gene_395,K99992,"ko02010,ko01200",M2395,,Metabolic protein,NO
BHE81_RS14635,gene_396,K99992,"ko02010,ko01200",M2396,,Metabolic protein,NO
BHE81_RS14640,gene_397,K99992,"ko02010,ko01200",M2397,,Metabolic protein,NO
BHE81_RS14650,gene_398,K99992,"ko02010,ko01200",M2398,,Metabolic protein,NO
BHE81_RS14705,gene_399,K99992,"ko02010,ko01200",M2399,,Metabolic protein,NO
BHE81_RS29035,gene_400,K99992,"ko02010,ko01200",M2400,,Metabolic protein,NO
BHE81_RS14745,gene_401,K99992,"ko02010,ko01200",M2401,,Metabolic protein,NO
BHE81_RS14770,gene_402,K99992,"ko02010,ko01200",M2402,,Metabolic protein,NO
BHE81_RS14890,gene_403,K99991,"ko02020,ko03410,ko00190",M2403,,Stress response protein,NO
BHE81_RS14960,gene_404,K99992,"ko02010,ko01200",M2404,,Metabolic protein,NO
BHE81_RS14985,gene_405,K99992,"ko02010,ko01200",M2405,,Metabolic protein,NO
BHE81_RS14990,gene_406,K99991,"ko02020,ko03410,ko00190",M2406,,Stress response protein,NO
BHE81_RS15015,gene_407,K99991,"ko02020,ko03410,ko00190",M2407,,Stress response protein,NO
BHE81_RS15045,gene_408,K99991,"ko02020,ko03410,ko00190",M2408,,Stress response protein,NO
BHE81_RS15085,gene_409,K99992,"ko02010,ko01200",M2409,,Metabolic protein,NO
BHE81_RS15135,gene_410,K99991,"ko02020,ko03410,ko00190",M2410,,Stress response protein,NO
BHE81_RS15150,gene_411,K99991,"ko02020,ko03410,ko00190",M2411,,Stress response protein,NO
BHE81_RS15190,gene_412,K99991,"ko02020,ko03410,ko00190",M2412,,Stress response protein,NO
BHE81_RS15195,gene_413,K99991,"ko02020,ko03410,ko00190",M2413,,Stress response protein,NO
BHE81_RS15200,gene_414,K99991,"ko02020,ko03410,ko00190",M2414,,Stress response protein,NO
BHE81_RS15265,gene_415,K99991,"ko02020,ko03410,ko00190",M2415,,Stress response protein,NO
BHE81_RS15270,gene_416,K99991,"ko02020,ko03410,ko00190",M2416,,Stress response protein,NO
BHE81_RS15285,gene_417,K99992,"ko02010,ko01200",M2417,,Metabolic protein,NO
BHE81_RS15345,gene_418,K99992,"ko02010,ko01200",M2418,,Metabolic protein,NO
BHE81_RS15410,gene_419,K99992,"ko02010,ko01200",M2419,,Metabolic protein,NO
BHE81_RS15420,gene_420,K99992,"ko02010,ko01200",M2420,,Metabolic protein,NO
BHE81_RS15440,gene_421,K99991,"ko02020,ko03410,ko00190",M2421,,Stress response protein,NO
BHE81_RS15460,gene_422,K99992,"ko02010,ko01200",M2422,,Metabolic protein,NO
BHE81_RS15515,gene_423,K99991,"ko02020,ko03410,ko00190",M2423,,Stress response protein,NO
BHE81_RS15570,gene_424,K99992,"ko02010,ko01200",M2424,,Metabolic protein,NO
BHE81_RS15575,gene_425,K99992,"ko02010,ko01200",M2425,,Metabolic protein,NO
BHE81_RS15580,gene_426,K99992,"ko02010,ko01200",M2426,,Metabolic protein,NO
BHE81_RS15585,gene_427,K99992,"ko02010,ko01200",M2427,,Metabolic protein,NO
BHE81_RS15595,gene_428,K99992,"ko02010,ko01200",M2428,,Metabolic protein,NO
BHE81_RS15610,gene_429,K99992,"ko02010,ko01200",M2429,,Metabolic protein,NO
BHE81_RS15645,gene_430,K99992,"ko02010,ko01200",M2430,,Metabolic protein,NO
BHE81_RS15650,gene_431,K99992,"ko02010,ko01200",M2431,,Metabolic protein,NO
BHE81_RS15655,gene_432,K99992,"ko02010,ko01200",M2432,,Metabolic protein,NO
BHE81_RS15660,gene_433,K99992,"ko02010,ko01200",M2433,,Metabolic protein,NO
BHE81_RS15665,gene_434,K99992,"ko02010,ko01200",M2434,,Metabolic protein,NO
BHE81_RS15760,gene_435,K99992,"ko02010,ko01200",M2435,,Metabolic protein,NO
BHE81_RS15830,gene_436,K99992,"ko02010,ko01200",M2436,,Metabolic protein,NO
BHE81_RS15835,gene_437,K99992,"ko02010,ko01200",M2437,,Metabolic protein,NO
BHE81_RS15845,gene_438,K99992,"ko02010,ko01200",M2438,,Metabolic protein,NO
BHE81_RS15850,gene_439,K99992,"ko02010,ko01200",M2439,,Metabolic protein,NO
BHE81_RS15855,gene_440,K99992,"ko02010,ko01200",M2440,,Metabolic protein,NO
BHE81_RS15860,gene_441,K99992,"ko02010,ko01200",M2441,,Metabolic protein,NO
BHE81_RS15865,gene_442,K99991,"ko02020,ko03410,ko00190",M2442,,Stress response protein,NO
BHE81_RS15945,gene_443,K99992,"ko02010,ko01200",M2443,,Metabolic protein,NO
BHE81_RS15955,gene_444,K99992,"ko02010,ko01200",M2444,,Metabolic protein,NO
BHE81_RS15975,gene_445,K99992,"ko02010,ko01200",M2445,,Metabolic protein,NO
BHE81_RS16070,gene_446,K99992,"ko02010,ko01200",M2446,,Metabolic protein,NO
BHE81_RS16080,gene_447,K99992,"ko02010,ko01200",M2447,,Metabolic protein,NO
BHE81_RS16100,gene_448,K99991,"ko02020,ko03410,ko00190",M2448,,Stress response protein,NO
BHE81_RS16145,gene_449,K99992,"ko02010,ko01200",M2449,,Metabolic protein,NO
BHE81_RS16150,gene_450,K99992,"ko02010,ko01200",M2450,,Metabolic protein,NO
BHE81_RS16330,gene_451,K99991,"ko02020,ko03410,ko00190",M2451,,Stress response protein,NO
BHE81_RS16335,gene_452,K99991,"ko02020,ko03410,ko00190",M2452,,Stress response protein,NO
BHE81_RS16360,gene_453,K99991,"ko02020,ko03410,ko00190",M2453,,Stress response protein,NO
BHE81_RS16365,gene_454,K99991,"ko02020,ko03410,ko00190",M2454,,Stress response protein,NO
BHE81_RS16535,gene_455,K99991,"ko02020,ko03410,ko00190",M2455,,Stress response protein,NO
BHE81_RS16540,gene_456,K99991,"ko02020,ko03410,ko00190",M2456,,Stress response protein,NO
BHE81_RS16575,gene_457,K99991,"ko02020,ko03410,ko00190",M2457,,Stress response protein,NO
BHE81_RS16580,gene_458,K99991,"ko02020,ko03410,ko00190",M2458,,Stress response protein,NO
BHE81_RS16630,gene_459,K99991,"ko02020,ko03410,ko00190",M2459,,Stress response protein,NO
BHE81_RS16645,gene_460,K99991,"ko02020,ko03410,ko00190",M2460,,Stress response protein,NO
BHE81_RS16660,gene_461,K99991,"ko02020,ko03410,ko00190",M2461,,Stress response protein,NO
BHE81_RS16665,gene_462,K99991,"ko02020,ko03410,ko00190",M2462,,Stress response protein,NO
BHE81_RS16670,gene_463,K99991,"ko02020,ko03410,ko00190",M2463,,Stress response protein,NO
BHE81_RS16700,gene_464,K99991,"ko02020,ko03410,ko00190",M2464,,Stress response protein,NO
BHE81_RS16705,gene_465,K99991,"ko02020,ko03410,ko00190",M2465,,Stress response protein,NO
BHE81_RS17095,gene_466,K99992,"ko02010,ko01200",M2466,,Metabolic protein,NO
BHE81_RS17115,gene_467,K99991,"ko02020,ko03410,ko00190",M2467,,Stress response protein,NO
BHE81_RS17130,gene_468,K99992,"ko02010,ko01200",M2468,,Metabolic protein,NO
BHE81_RS17135,gene_469,K99992,"ko02010,ko01200",M2469,,Metabolic protein,NO
BHE81_RS17140,gene_470,K99992,"ko02010,ko01200",M2470,,Metabolic protein,NO
BHE81_RS17155,gene_471,K99992,"ko02010,ko01200",M2471,,Metabolic protein,NO
BHE81_RS17265,gene_472,K99992,"ko02010,ko01200",M2472,,Metabolic protein,NO
BHE81_RS17270,gene_473,K99992,"ko02010,ko01200",M2473,,Metabolic protein,NO
BHE81_RS17290,gene_474,K99991,"ko02020,ko03410,ko00190",M2474,,Stress response protein,NO
BHE81_RS17310,gene_475,K99992,"ko02010,ko01200",M2475,,Metabolic protein,NO
BHE81_RS17330,gene_476,K99992,"ko02010,ko01200",M2476,,Metabolic protein,NO
BHE81_RS17335,gene_477,K99992,"ko02010,ko01200",M2477,,Metabolic protein,NO
BHE81_RS17390,gene_478,K99992,"ko02010,ko01200",M2478,,Metabolic protein,NO
BHE81_RS17510,gene_479,K99991,"ko02020,ko03410,ko00190",M2479,,Stress response protein,NO
BHE81_RS17635,gene_480,K99992,"ko02010,ko01200",M2480,,Metabolic protein,NO
BHE81_RS17640,gene_481,K99992,"ko02010,ko01200",M2481,,Metabolic protein,NO
BHE81_RS17645,gene_482,K99992,"ko02010,ko01200",M2482,,Metabolic protein,NO
BHE81_RS17650,gene_483,K99992,"ko02010,ko01200",M2483,,Metabolic protein,NO
BHE81_RS17655,gene_484,K99992,"ko02010,ko01200",M2484,,Metabolic protein,NO
BHE81_RS17660,gene_485,K99992,"ko02010,ko01200",M2485,,Metabolic protein,NO
BHE81_RS17690,gene_486,K99992,"ko02010,ko01200",M2486,,Metabolic protein,NO
BHE81_RS17695,gene_487,K99992,"ko02010,ko01200",M2487,,Metabolic protein,NO
BHE81_RS17785,gene_488,K99991,"ko02020,ko03410,ko00190",M2488,,Stress response protein,NO
BHE81_RS17805,gene_489,K99992,"ko02010,ko01200",M2489,,Metabolic protein,NO
BHE81_RS17835,gene_490,K99992,"ko02010,ko01200",M2490,,Metabolic protein,NO
BHE81_RS17995,gene_491,K99991,"ko02020,ko03410,ko00190",M2491,,Stress response protein,NO
BHE81_RS18090,gene_492,K99992,"ko02010,ko01200",M2492,,Metabolic protein,NO
BHE81_RS18100,gene_493,K99992,"ko02010,ko01200",M2493,,Metabolic protein,NO
BHE81_RS18105,gene_494,K99992,"ko02010,ko01200",M2494,,Metabolic protein,NO
BHE81_RS18195,gene_495,K99992,"ko02010,ko01200",M2495,,Metabolic protein,NO
BHE81_RS18305,gene_496,K99991,"ko02020,ko03410,ko00190",M2496,,Stress response protein,NO
BHE81_RS18330,gene_497,K99992,"ko02010,ko01200",M2497,,Metabolic protein,NO
BHE81_RS18465,gene_498,K99992,"ko02010,ko01200",M2498,,Metabolic protein,NO
BHE81_RS18470,gene_499,K99992,"ko02010,ko01200",M2499,,Metabolic protein,NO
BHE81_RS18625,gene_500,K99991,"ko02020,ko03410,ko00190",M2500,,Stress response protein,NO
BHE81_RS18690,gene_501,K99992,"ko02010,ko01200",M2501,,Metabolic protein,NO
BHE81_RS18715,gene_502,K99991,"ko02020,ko03410,ko00190",M2502,,Stress response protein,NO
BHE81_RS18835,gene_503,K99992,"ko02010,ko01200",M2503,,Metabolic protein,NO
BHE81_RS18855,gene_504,K99991,"ko02020,ko03410,ko00190",M2504,,Stress response protein,NO
BHE81_RS18860,gene_505,K99991,"ko02020,ko03410,ko00190",M2505,,Stress response protein,NO
BHE81_RS18945,gene_506,K99991,"ko02020,ko03410,ko00190",M2506,,Stress response protein,NO
BHE81_RS18950,gene_507,K99991,"ko02020,ko03410,ko00190",M2507,,Stress response protein,NO
BHE81_RS18960,gene_508,K99991,"ko02020,ko03410,ko00190",M2508,,Stress response protein,NO
BHE81_RS18965,gene_509,K99991,"ko02020,ko03410,ko00190",M2509,,Stress response protein,NO
BHE81_RS18980,gene_510,K99991,"ko02020,ko03410,ko00190",M2510,,Stress response protein,NO
BHE81_RS18990,gene_511,K99991,"ko02020,ko03410,ko00190",M2511,,Stress response protein,NO
BHE81_RS18995,gene_512,K99991,"ko02020,ko03410,ko00190",M2512,,Stress response protein,NO
BHE81_RS19000,gene_513,K99991,"ko02020,ko03410,ko00190",M2513,,Stress response protein,NO
BHE81_RS19005,gene_514,K99991,"ko02020,ko03410,ko00190",M2514,,Stress response protein,NO
BHE81_RS19010,gene_515,K99991,"ko02020,ko03410,ko00190",M2515,,Stress response protein,NO
BHE81_RS19185,gene_516,K99991,"ko02020,ko03410,ko00190",M2516,,Stress response protein,NO
BHE81_RS19190,gene_517,K99991,"ko02020,ko03410,ko00190",M2517,,Stress response protein,NO
BHE81_RS19200,gene_518,K99991,"ko02020,ko03410,ko00190",M2518,,Stress response protein,NO
BHE81_RS19245,gene_519,K99992,"ko02010,ko01200",M2519,,Metabolic protein,NO
BHE81_RS19260,gene_520,K99992,"ko02010,ko01200",M2520,,Metabolic protein,NO
BHE81_RS19285,gene_521,K99991,"ko02020,ko03410,ko00190",M2521,,Stress response protein,NO
BHE81_RS19305,gene_522,K99992,"ko02010,ko01200",M2522,,Metabolic protein,NO
BHE81_RS19395,gene_523,K99991,"ko02020,ko03410,ko00190",M2523,,Stress response protein,NO
BHE81_RS19475,gene_524,K99992,"ko02010,ko01200",M2524,,Metabolic protein,NO
BHE81_RS19490,gene_525,K99992,"ko02010,ko01200",M2525,,Metabolic protein,NO
BHE81_RS19570,gene_526,K99992,"ko02010,ko01200",M2526,,Metabolic protein,NO
BHE81_RS19625,gene_527,K99991,"ko02020,ko03410,ko00190",M2527,,Stress response protein,NO
BHE81_RS19635,gene_528,K99991,"ko02020,ko03410,ko00190",M2528,,Stress response protein,NO
BHE81_RS19640,gene_529,K99991,"ko02020,ko03410,ko00190",M2529,,Stress response protein,NO
BHE81_RS19650,gene_530,K99991,"ko02020,ko03410,ko00190",M2530,,Stress response protein,NO
BHE81_RS19675,gene_531,K99992,"ko02010,ko01200",M2531,,Metabolic protein,NO
BHE81_RS19680,gene_532,K99992,"ko02010,ko01200",M2532,,Metabolic protein,NO
BHE81_RS19685,gene_533,K99992,"ko02010,ko01200",M2533,,Metabolic protein,NO
BHE81_RS19690,gene_534,K99992,"ko02010,ko01200",M2534,,Metabolic protein,NO
BHE81_RS19695,gene_535,K99991,"ko02020,ko03410,ko00190",M2535,,Stress response protein,NO
BHE81_RS19760,gene_536,K99991,"ko02020,ko03410,ko00190",M2536,,Stress response protein,NO
BHE81_RS19775,gene_537,K99992,"ko02010,ko01200",M2537,,Metabolic protein,NO
BHE81_RS19810,gene_538,K99991,"ko02020,ko03410,ko00190",M2538,,Stress response protein,NO
BHE81_RS19815,gene_539,K99991,"ko02020,ko03410,ko00190",M2539,,Stress response protein,NO
BHE81_RS19855,gene_540,K99992,"ko02010,ko01200",M2540,,Metabolic protein,NO
BHE81_RS19925,gene_541,K99991,"ko02020,ko03410,ko00190",M2541,,Stress response protein,NO
BHE81_RS28835,gene_542,K99991,"ko02020,ko03410,ko00190",M2542,,Stress response protein,NO
BHE81_RS19940,gene_543,K99991,"ko02020,ko03410,ko00190",M2543,,Stress response protein,NO
BHE81_RS19990,gene_544,K99991,"ko02020,ko03410,ko00190",M2544,,Stress response protein,NO
BHE81_RS20025,gene_545,K99992,"ko02010,ko01200",M2545,,Metabolic protein,NO
BHE81_RS20030,gene_546,K99992,"ko02010,ko01200",M2546,,Metabolic protein,NO
BHE81_RS20140,gene_547,K99991,"ko02020,ko03410,ko00190",M2547,,Stress response protein,NO
BHE81_RS20175,gene_548,K99991,"ko02020,ko03410,ko00190",M2548,,Stress response protein,NO
BHE81_RS20180,gene_549,K99991,"ko02020,ko03410,ko00190",M2549,,Stress response protein,NO
BHE81_RS20185,gene_550,K99991,"ko02020,ko03410,ko00190",M2550,,Stress response protein,NO
BHE81_RS20270,gene_551,K99992,"ko02010,ko01200",M2551,,Metabolic protein,NO
BHE81_RS20325,gene_552,K99992,"ko02010,ko01200",M2552,,Metabolic protein,NO
BHE81_RS20385,gene_553,K99992,"ko02010,ko01200",M2553,,Metabolic protein,NO
BHE81_RS20530,gene_554,K99992,"ko02010,ko01200",M2554,,Metabolic protein,NO
BHE81_RS20545,gene_555,K99992,"ko02010,ko01200",M2555,,Metabolic protein,NO
BHE81_RS20610,gene_556,K99991,"ko02020,ko03410,ko00190",M2556,,Stress response protein,NO
BHE81_RS20615,gene_557,K99991,"ko02020,ko03410,ko00190",M2557,,Stress response protein,NO
BHE81_RS20625,gene_558,K99992,"ko02010,ko01200",M2558,,Metabolic protein,NO
BHE81_RS20630,gene_559,K99992,"ko02010,ko01200",M2559,,Metabolic protein,NO
BHE81_RS20635,gene_560,K99992,"ko02010,ko01200",M2560,,Metabolic protein,NO
BHE81_RS20655,gene_561,K99992,"ko02010,ko01200",M2561,,Metabolic protein,NO
BHE81_RS20730,gene_562,K99992,"ko02010,ko01200",M2562,,Metabolic protein,NO
BHE81_RS20735,gene_563,K99992,"ko02010,ko01200",M2563,,Metabolic protein,NO
BHE81_RS20765,gene_564,K99991,"ko02020,ko03410,ko00190",M2564,,Stress response protein,NO
BHE81_RS20780,gene_565,K99992,"ko02010,ko01200",M2565,,Metabolic protein,NO
BHE81_RS20825,gene_566,K99991,"ko02020,ko03410,ko00190",M2566,,Stress response protein,NO
BHE81_RS20830,gene_567,K99991,"ko02020,ko03410,ko00190",M2567,,Stress response protein,NO
BHE81_RS20835,gene_568,K99991,"ko02020,ko03410,ko00190",M2568,,Stress response protein,NO
BHE81_RS20840,gene_569,K99991,"ko02020,ko03410,ko00190",M2569,,Stress response protein,NO
BHE81_RS20845,gene_570,K99991,"ko02020,ko03410,ko00190",M2570,,Stress response protein,NO
BHE81_RS20985,gene_571,K99991,"ko02020,ko03410,ko00190",M2571,,Stress response protein,NO
BHE81_RS21030,gene_572,K99991,"ko02020,ko03410,ko00190",M2572,,Stress response protein,NO
BHE81_RS21050,gene_573,K99991,"ko02020,ko03410,ko00190",M2573,,Stress response protein,NO
BHE81_RS21060,gene_574,K99991,"ko02020,ko03410,ko00190",M2574,,Stress response protein,NO
BHE81_RS21095,gene_575,K99992,"ko02010,ko01200",M2575,,Metabolic protein,NO
BHE81_RS21100,gene_576,K99992,"ko02010,ko01200",M2576,,Metabolic protein,NO
BHE81_RS21105,gene_577,K99992,"ko02010,ko01200",M2577,,Metabolic protein,NO
